threshold,hold_period,top_n,annual_return,sharpe,max_dd,win_rate,total_return
-0.95,1,5,-55.60466452529829,-2.1454047607167355,-78.47813571575469,38.004246284501065,-78.07918489644263
-0.95,1,10,-54.594540063967045,-2.107144558142072,-77.5538499700402,38.42887473460722,-77.13776566495473
-0.95,1,15,-54.33290945873641,-2.0888151946363975,-77.3115081107487,38.6411889596603,-76.89093151438024
-0.95,1,20,-54.62979747669281,-2.106800228738327,-77.58641549052493,38.6411889596603,-77.17093485252458
-0.95,1,25,-54.64733814611365,-2.109767028264497,-77.6026087458546,38.6411889596603,-77.18742828224416
-0.95,1,30,-54.68438128092272,-2.1120115214324673,-77.6367884724765,38.6411889596603,-77.22224159849192
-0.95,2,5,-27.186590136730516,-0.8652021477627533,-52.15701601367684,43.524416135881104,-44.73292395686339
-0.95,2,10,-26.612422805964208,-0.849955342530388,-51.440233501652585,43.73673036093418,-43.91559104710336
-0.95,2,15,-26.524671516378227,-0.8447417219603333,-51.33165258850181,43.73673036093418,-43.79018483581453
-0.95,2,20,-26.66065161160498,-0.8515871679696301,-51.49986241217475,43.73673036093418,-43.98445983384385
-0.95,2,25,-26.725708390613146,-0.8553771297977695,-51.58024304284873,43.73673036093418,-44.077295950812456
-0.95,2,30,-26.813031748957016,-0.8588284549942069,-51.68803759422991,43.73673036093418,-44.20179394860986
-0.95,4,5,-17.409781132115853,-0.5522125357973334,-40.19992820660582,43.73673036093418,-30.058389320333912
-0.95,4,10,-17.400232012896875,-0.5560761499989223,-40.015844282917456,43.73673036093418,-30.043274168557275
-0.95,4,15,-17.398175620229704,-0.5569071275127371,-40.021506181504094,43.73673036093418,-30.040018937962355
-0.95,4,20,-17.39125152865608,-0.5561937093599253,-40.01210884229071,43.73673036093418,-30.029057714504624
-0.95,4,25,-17.444541715408956,-0.5590163045131755,-40.08441635194509,43.73673036093418,-30.113398478735498
-0.95,4,30,-17.452231082935587,-0.5593938575687641,-40.09484642642922,43.73673036093418,-30.125564302965614
-0.95,6,5,-17.464921145752477,-0.6482138068514186,-38.6666424274991,43.40425531914894,-30.092411995461866
-0.95,6,10,-17.581151949073025,-0.6601796216018653,-38.861110782736944,43.19148936170213,-30.275913515360575
-0.95,6,15,-17.684595090717902,-0.6660895684375926,-39.00414968790674,43.19148936170213,-30.43903811776033
-0.95,6,20,-17.63400851393677,-0.6630993981756603,-38.93421909613005,43.19148936170213,-30.359287787137966
-0.95,6,25,-17.54097726210849,-0.6599866877016441,-38.80551621250348,43.19148936170213,-30.212512287882287
-0.95,6,30,-17.491495995108043,-0.6581894198858657,-38.73701079361906,43.19148936170213,-30.134387254665075
-0.95,8,5,-14.231864672126083,-0.6258219888896596,-32.50905144945626,43.19148936170213,-24.898668093439525
-0.95,8,10,-14.550588939788312,-0.6478604623341583,-32.98565718484592,43.61702127659575,-25.418347336515602
-0.95,8,15,-14.584302098453616,-0.6506060453812154,-33.03496109111991,43.40425531914894,-25.473218676861677
-0.95,8,20,-14.52044931551778,-0.6480790517763011,-32.941565155040905,43.40425531914894,-25.36927640163804
-0.95,8,25,-14.381600627230085,-0.6421806757038212,-32.738266135322206,43.40425531914894,-25.143020704147855
-0.95,8,30,-14.384505643810986,-0.6424691437992948,-32.74252251648772,43.40425531914894,-25.147757719066675
-0.95,13,5,-7.537094230569452,-0.3928923735686864,-19.283961393662885,43.71002132196162,-13.570538708572833
-0.95,13,10,-7.728274705754656,-0.4084542867521496,-19.536043948230443,43.49680170575693,-13.902833300531537
-0.95,13,15,-7.811624016139474,-0.41432445622207503,-19.671263068524148,43.49680170575693,-14.047518992263996
-0.95,13,20,-7.760478720376119,-0.4113051886602704,-19.588301587892186,43.49680170575693,-13.958749451489616
-0.95,13,25,-7.68399034010665,-0.4070022847916175,-19.464157802240823,43.49680170575693,-13.825914468816759
-0.95,13,30,-7.699073637307752,-0.40807736830707597,-19.48864562754179,43.49680170575693,-13.852116665185132
-0.95,26,5,1.9519124236619279,0.24458436374171313,-7.767764062356141,43.162393162393165,3.6552763736888982
-0.95,26,10,1.8602347779660633,0.23644947168836092,-7.806542655390613,43.162393162393165,3.4822400048745816
-0.95,26,15,1.9492587799695427,0.24546242968463014,-7.762317513500072,42.94871794871795,3.650265896213023
-0.95,26,20,2.0395268275562595,0.25457735926621033,-7.730151216168146,42.94871794871795,3.820768286318499
-0.95,26,25,2.0699838074880628,0.25779861376346763,-7.673012402097035,42.94871794871795,3.878325995799803
-0.95,26,30,2.064161811614018,0.2572372618255482,-7.6577001046874145,42.94871794871795,3.8673224289711206
-0.95,39,5,5.563159283567631,0.8086934111867714,-6.217886491377456,45.06437768240343,10.52976356464339
-0.95,39,10,5.38144360049404,0.7880481218506421,-6.41266406226223,44.84978540772532,10.178181206002602
-0.95,39,15,5.4679434807081595,0.8009417774251467,-6.442774116137906,44.84978540772532,10.345476477993131
-0.95,39,20,5.579467035514041,0.8169106616624973,-6.37136325975598,44.84978540772532,10.561340852094126
-0.95,39,25,5.603853601738407,0.8211605346602501,-6.336089399524669,44.84978540772532,10.60856916711559
-0.95,39,30,5.590568306422794,0.8192578773372597,-6.344854557669,44.84978540772532,10.582839012418388
-0.95,52,5,5.030445096744396,0.84094887138884,-6.948345391331834,44.396551724137936,9.457883391738031
-0.95,52,10,4.6154192890875745,0.7810453260033257,-7.09514812251808,44.396551724137936,8.66281996370315
-0.95,52,15,4.649428438031178,0.787816918999194,-7.1134945504340745,44.396551724137936,8.72787154485357
-0.95,52,20,4.753338193429535,0.8049693257733881,-7.068425748605456,44.396551724137936,8.926736899379751
-0.95,52,25,4.775822419631237,0.809242288515867,-7.079209687513521,44.396551724137936,8.969789680954454
-0.95,52,30,4.762760830302071,0.8069834724197501,-7.084538318230138,44.396551724137936,8.944778412079124
-0.95,65,5,2.4010248179261895,0.4726069546567076,-7.3273696260169,43.93939393939394,4.4458580828346195
-0.95,65,10,2.1270886195909444,0.42620420728333486,-7.3616420710159725,44.37229437229438,3.9341840762066926
-0.95,65,15,2.154700966500167,0.43148012653107387,-7.405533746080851,44.37229437229438,3.985708261974885
-0.95,65,20,2.2478353608480717,0.4489608711987475,-7.373215468152439,44.37229437229438,4.159581108719457
-0.95,65,25,2.270846414149119,0.45345122981115105,-7.379979102642431,44.37229437229438,4.2025608460843245
-0.95,65,30,2.2650683842348585,0.452294338361988,-7.386750841453981,44.37229437229438,4.19176796134928
-0.95,78,5,1.9519799075128796,0.4238651763149405,-7.236638592971767,43.69565217391304,3.5918093932589823
-0.95,78,10,1.6089052205193743,0.3577786416251623,-7.351020785282946,42.82608695652174,2.9563730434590596
-0.95,78,15,1.6320138363928205,0.3625243311235028,-7.404951174934049,43.04347826086957,2.99911884321975
-0.95,78,20,1.72201564877128,0.38120141377656863,-7.3474323883123915,43.04347826086957,3.1656786502816336
-0.95,78,25,1.7387070257595116,0.3847289602449705,-7.340783765228565,43.04347826086957,3.196581543973598
-0.95,78,30,1.7375090943885896,0.3844075098763498,-7.345486486403907,43.04347826086957,3.1943635201020726
-0.95,104,5,2.9076643898383825,0.7158194631828332,-6.911182845311304,41.885964912280706,5.3232976732169535
-0.95,104,10,2.5445368973422644,0.6374851021809252,-6.9787736156224245,41.66666666666667,4.65174623118898
-0.95,104,15,2.5611910518559267,0.6412332871321554,-7.009232856261538,41.66666666666667,4.682503614908917
-0.95,104,20,2.626363159877698,0.6566126848939763,-6.997270687330648,41.885964912280706,4.802904255953155
-0.95,104,25,2.6344199530367707,0.6586420834939003,-6.996500420965424,41.885964912280706,4.817792884504968
-0.95,104,30,2.6319701019215103,0.657940274636133,-6.997878665812651,41.885964912280706,4.813265558419366
-0.85,1,5,-78.10962290887107,-4.647902561112412,-94.18653804710408,38.004246284501065,-94.15342002778172
-0.85,1,10,-77.4470575646324,-4.881443756262101,-93.85334352028379,35.881104033970274,-93.81832736472748
-0.85,1,15,-78.43079004559752,-5.109325073467958,-94.34493750964684,34.394904458598724,-94.3127218573656
-0.85,1,20,-78.87565073242497,-5.21589245084995,-94.56097758981791,34.394904458598724,-94.5299926705504
-0.85,1,25,-78.615679038136,-5.209186946357755,-94.43520125511444,34.182590233545646,-94.4034998156191
-0.85,1,30,-78.5241683149949,-5.2017484725276395,-94.3906096597204,33.97027600849257,-94.35865419167376
-0.85,2,5,-48.357486130169,-2.1849333196081324,-72.46586247280923,45.22292993630573,-70.91981820205145
-0.85,2,10,-48.877861969966155,-2.4038277264745727,-71.46509958020454,44.161358811040344,-71.46509958020454
-0.85,2,15,-51.29301731206999,-2.6213816999379973,-73.93287551453773,42.88747346072187,-73.93287551453773
-0.85,2,20,-51.9460488176833,-2.7053246350216384,-74.58228314631536,42.462845010615716,-74.58228314631536
-0.85,2,25,-52.10375621028109,-2.7266553103515756,-74.73797288631529,41.825902335456476,-74.73797288631529
-0.85,2,30,-51.96858801563419,-2.715626234138413,-74.60456122506976,42.462845010615716,-74.60456122506976
-0.85,4,5,-18.491228778402203,-0.6778861517908864,-40.66289648513804,50.955414012738856,-31.760365136530012
-0.85,4,10,-17.26496491272026,-0.6847133466998724,-36.642618365666046,50.10615711252654,-29.828998874680224
-0.85,4,15,-21.638146780054168,-0.9312471871090312,-40.35791558223464,48.19532908704883,-36.601842201651905
-0.85,4,20,-22.850044023525474,-1.0065304678228872,-41.22250540793008,47.77070063694268,-38.42207848165739
-0.85,4,25,-23.651751560820024,-1.0577036106477646,-42.37580643047353,47.346072186836516,-39.61266054849043
-0.85,4,30,-23.430508610314405,-1.0483451420251684,-41.9614018291716,47.346072186836516,-39.285181844644356
-0.85,6,5,-6.577286139295757,-0.14788780355207637,-31.888041083777495,52.55319148936171,-11.917115472077743
-0.85,6,10,-5.1107241969333135,-0.10785123547677909,-29.893484016826466,50.0,-9.320703281619835
-0.85,6,15,-9.454256701809417,-0.33483728619879666,-30.060540202874762,48.723404255319146,-16.90871637679504
-0.85,6,20,-11.286209994575803,-0.435034718134615,-30.565759162018445,48.29787234042553,-20.01669675168156
-0.85,6,25,-11.663769474757068,-0.46009376632118665,-30.178087218556414,48.08510638297872,-20.65040671437731
-0.85,6,30,-11.342454763669242,-0.44598299084916143,-29.926940175783535,48.29787234042553,-20.111248277408865
-0.85,8,5,3.6700445920142544,0.29632835455877626,-24.492327916399447,52.97872340425533,6.953405992393447
-0.85,8,10,4.878853896649438,0.364505977397793,-21.785889472975583,50.851063829787236,9.291059598748452
-0.85,8,15,1.144975195259823,0.176463164806762,-21.938585676931577,50.638297872340424,2.1460400355364895
-0.85,8,20,-0.7719349572928857,0.07436546611298392,-22.511580070970226,50.212765957446805,-1.4349111705057926
-0.85,8,25,-1.065682444545435,0.05760515903274511,-22.108166411459408,50.42553191489362,-1.9784161729930472
-0.85,8,30,-0.7706617030942775,0.07312696049546091,-21.926759404023798,50.42553191489362,-1.4325523035886079
-0.85,13,5,18.458191176631455,1.1229234487119624,-15.924256978843854,51.385927505330486,37.06066008315321
-0.85,13,10,17.25151372610185,1.1336692224613665,-15.872057435905429,51.385927505330486,34.47363064902784
-0.85,13,15,14.845914562931739,1.0194048399019722,-16.45835287145083,50.53304904051173,29.384341282240566
-0.85,13,20,13.563531244157012,0.9497980853029035,-17.361608452377975,50.31982942430704,26.708488119102313
-0.85,13,25,13.739113637508972,0.9647719005392991,-17.162622765613545,50.53304904051173,27.073333687284507
-0.85,13,30,14.252202064357022,0.9987013152477436,-17.25138202445602,50.74626865671642,28.14226951117005
-0.85,26,5,21.029366388411198,1.8208601264262003,-13.923735277812078,54.91452991452992,42.541059402659485
-0.85,26,10,17.941238710293316,1.7028591702787317,-14.568753051651829,54.059829059829056,35.86056444050958
-0.85,26,15,16.066661401006566,1.5810888526195817,-14.75339210738963,54.059829059829056,31.87760676759128
-0.85,26,20,15.321727179134982,1.5298698240368787,-15.33982131457079,53.205128205128204,30.310025002372363
-0.85,26,25,15.327493865500031,1.5397814643229721,-15.494157336890236,53.41880341880342,30.32212673744501
-0.85,26,30,15.772065420085601,1.5869808146418478,-15.631680313842445,52.77777777777778,31.256647716132946
-0.85,39,5,17.92743922147997,2.047223837187102,-14.92746643712961,55.15021459227468,35.65339539535144
-0.85,39,10,15.963057192888064,1.9519712625810568,-15.760210954104847,53.21888412017167,31.504409934817666
