,Return
2024-07-29,-0.013084437700305651
2024-07-30,-0.06943989715997945
2024-07-31,-0.04071843459050695
2024-08-01,-0.0632002111901907
2024-08-02,-0.08319674544128419
2024-08-05,-0.05529689906119095
2024-08-06,-0.02062179119331531
2024-08-07,-0.06333895404092937
2024-08-08,-0.028953729844926612
2024-08-09,-0.023028377485524665
2024-08-12,-0.02112300935577993
2024-08-13,-0.0061869216856295095
2024-08-14,-0.016452840540067903
2024-08-15,-0.026175397391285937
2024-08-16,-0.014341880160208431
2024-08-19,0.002931463415375646
2024-08-20,-0.00810258169311584
2024-08-21,-0.0282449939394136
2024-08-22,-0.012322413003788557
2024-08-23,-0.010214085030831543
2024-08-26,-0.10365032574294142
2024-08-27,-0.021332155919333684
2024-08-28,-0.04378515934848237
2024-08-29,-0.06301649134040066
2024-08-30,-0.01047398201810068
2024-09-03,-0.07358954439374443
2024-09-04,-0.047923004215763454
2024-09-05,-0.034375367814684865
2024-09-06,-0.03643602492241671
2024-09-09,-0.015809956609876052
2024-09-10,-0.04690098987989022
2024-09-11,-0.021878662617149658
2024-09-12,-0.02113777464738842
2024-09-13,-0.03582385441723246
2024-09-16,-0.022572715916498676
2024-09-17,-0.02662157628592665
2024-09-18,-0.024460927111696562
2024-09-19,-0.01883951470858336
2024-09-20,-0.019819686247537383
2024-09-23,0.0009459641717306511
2024-09-24,-0.03847903332408509
2024-09-25,-0.022601551642505546
2024-09-26,-0.017455710663160873
2024-09-27,-0.009257147162697987
2024-09-30,-0.02193523666136954
2024-10-01,-0.029137965500126817
2024-10-02,-0.031193839464665585
2024-10-03,-0.023676283736392745
2024-10-04,-0.019118958567874378
2024-10-07,-0.04008803663388394
2024-10-08,-0.01594101228275302
2024-10-09,-0.014779185473491108
2024-10-10,-0.02143668261607179
2024-10-11,-0.03197649799044844
2024-10-14,-0.013238267935194004
2024-10-15,-0.0805626912511399
2024-10-16,-0.0302753445963303
2024-10-17,-0.03979929648920333
2024-10-18,-0.028842568408931735
2024-10-21,-0.025053907725909874
2024-10-22,-0.04585648270688181
2024-10-23,-0.03528375879189416
2024-10-24,-0.052687120000586285
2024-10-25,-0.031129279949145383
2024-10-28,-0.012939705632656895
2024-10-29,-0.043903438860703914
2024-10-30,-0.05902644557717851
2024-10-31,-0.10973438742841624
2024-11-01,-0.03055170305742405
2024-11-04,-0.027800081641004337
2024-11-05,-0.016311818105368303
2024-11-06,-0.05790071331318236
2024-11-07,-0.041853058973914004
2024-11-08,-0.04255182768363597
2024-11-11,-0.053085049287175945
2024-11-12,-0.037619220911996765
2024-11-13,-0.03180552768089018
2024-11-14,-0.04361996388526346
2024-11-15,-0.053360244412237634
2024-11-18,-0.015016043903876675
2024-11-19,-0.027272096228291298
2024-11-20,-0.0291320536095675
2024-11-21,-0.04196279536275094
2024-11-22,-0.017271750398982433
2024-11-25,-0.039130706232247126
2024-11-26,-0.02470929236628472
2024-11-27,-0.04410729878099995
2024-11-29,5.0627169329242605e-05
2024-12-02,-0.02767401697012284
2024-12-03,-0.0197441375134072
2024-12-04,-0.02359546454564121
2024-12-05,-0.02863066176030349
2024-12-06,-0.02699990690169629
2024-12-09,-0.04847080968587747
