Config,MA,Z,Buy,Short,Hold,TopN,Long_Sharpe,Long_Return,Long_MaxDD,Long_WR,Long_Trades,Short_Sharpe,Short_Return,Short_MaxDD,Short_WR,Short_Trades,Combined_Sharpe,Combined_Return,Combined_MaxDD,Combined_WR,Combined_Trades,Sharpe_Delta,Return_Delta,MaxDD_Delta
DOCUMENTED,104,104,0.8,0.97,104,20,1.246676234891025,-0.605494072712802,-0.9532186544869418,0.5576036866359447,434,,,,,0,1.246676234891025,-0.605494072712802,-0.9532186544869418,0.5576036866359447,434,0.0,0.0,0.0
Doc+104h+20+Short,104,104,0.8,0.97,104,20,1.2132897422101692,-0.6621791225830216,-0.9557529792698835,0.5576036866359447,434,-1.1008559167145178,-0.15930978131888307,-0.15930978131888307,0.3,10,1.1717874298285504,-0.7312322605196881,-0.9578963307974936,0.5518018018018018,444,-0.04150231238161872,-0.06905313793666656,-0.002143351527610138
Doc+8h+20+NoShort,104,104,0.8,0.97,8,20,0.39454216182763474,-1.0069207037901844,-1.0333080273114228,0.5166355140186916,5350,,,,,0,0.39454216182763474,-1.0069207037901844,-1.0333080273114228,0.5166355140186916,5350,0.0,0.0,0.0
Doc+8h+20+Short,104,104,0.8,0.97,8,20,0.315977337833466,-1.015276950086199,-1.044213612119843,0.5166355140186916,5350,-0.10889297072117766,-0.08308544785383598,-0.2838717853299211,0.4827586206896552,145,0.30585582069027223,-1.0138282737249387,-1.047756990814911,0.5157415832575069,5495,-0.010121517143193759,0.001448676361260226,-0.0035433786950678225
Doc+52h+20+NoShort,104,104,0.8,0.97,52,20,1.1065377776631478,-1.1146761642818814,-1.0340259777450473,0.545766590389016,874,,,,,0,1.1065377776631478,-1.1146761642818814,-1.0340259777450473,0.545766590389016,874,0.0,0.0,0.0
Doc+52h+20+Short,104,104,0.8,0.97,52,20,1.4066565903155166,0.6710116884537018,-0.9536090378931376,0.545766590389016,874,-0.7557041584883318,-0.18761668493587114,-0.1950123378177836,0.5185185185185185,27,1.361933718189276,0.11277827654592643,-0.9570813567353001,0.5449500554938956,901,-0.04472287212624049,-0.5582334119077754,-0.0034723188421625917
Doc+104h+10+NoShort,104,104,0.8,0.97,104,10,0.8466283193819093,-0.418516916174861,-0.9200651879818265,0.5387596899224806,258,,,,,0,0.8466283193819093,-0.418516916174861,-0.9200651879818265,0.5387596899224806,258,0.0,0.0,0.0
Doc+104h+10+Short,104,104,0.8,0.97,104,10,0.8241991276165771,-0.45703555275011754,-0.9243955631109663,0.5387596899224806,258,-1.1008559167145178,-0.15930978131888307,-0.15930978131888307,0.3,10,0.7585386299564796,-0.5685623835109022,-0.9280578861923012,0.5298507462686567,268,-0.06566049766009752,-0.11152683076078462,-0.0036623230813349616
Doc+104h+0.7+NoShort,104,104,0.7,0.97,104,20,0.9573753270400439,-1.0209290142599101,-1.10070127629042,0.5297397769516728,538,,,,,0,0.9573753270400439,-1.0209290142599101,-1.10070127629042,0.5297397769516728,538,0.0,0.0,0.0
Doc+104h+0.7+Short,104,104,0.7,0.97,104,20,0.9124588819866323,-1.0168902672800597,-1.0777776090547597,0.5297397769516728,538,-1.1008559167145178,-0.15930978131888307,-0.15930978131888307,0.3,10,0.8743051577322438,-1.0134993060884037,-1.0735333993467222,0.5255474452554745,548,-0.038153724254388455,0.00339096119165605,0.004244209708037516
