buy_threshold,short_threshold,Avg_Sharpe,Avg_Return,Avg_MaxDD,Combinations
0.7,0.97,-0.637,-0.213,-0.313,16
0.8,0.97,-0.654,-0.251,-0.34,16
0.7,0.95,-0.699,-0.223,-0.305,16
0.8,0.95,-0.703,-0.25,-0.343,16
0.7,0.9,-0.713,-0.176,-0.233,16
0.8,0.92,-0.732,-0.227,-0.284,16
0.8,0.9,-0.735,-0.206,-0.25,16
0.7,0.92,-0.749,-0.206,-0.259,16
0.5,0.97,-0.764,-0.242,-0.311,16
0.6,0.97,-0.803,-0.26,-0.33,16
0.5,0.95,-0.85,-0.248,-0.307,16
0.6,0.95,-0.887,-0.266,-0.329,16
0.5,0.9,-0.9,-0.204,-0.249,16
0.6,0.9,-0.914,-0.215,-0.258,16
0.5,0.92,-0.928,-0.231,-0.273,16
0.6,0.92,-0.951,-0.247,-0.288,16
0.9,0.92,-1.093,-0.416,-0.454,16
0.9,0.9,-1.102,-0.39,-0.42,16
0.9,0.97,-1.139,-0.476,-0.515,16
0.7,0.85,-1.169,-0.198,-0.225,16
0.9,0.95,-1.195,-0.47,-0.51,16
0.5,0.85,-1.214,-0.204,-0.229,16
0.6,0.85,-1.22,-0.204,-0.233,16
0.8,0.85,-1.445,-0.256,-0.277,16
0.9,0.85,-1.883,-0.44,-0.452,16
