ma_window,z_window,buy_threshold,short_threshold,hold_hours,top_n,Sharpe,Sortino,Total_Return,Max_DD,n_trades,Win_Rate
50,200,0.7,0.97,8,20,0.5788122771017307,0.8030193484353073,0.18319461045861396,-0.1266431608944455,399,0.48872180451127817
100,100,0.8,0.97,8,10,0.46170210879045936,0.6616967312556791,0.20998228392191276,-0.13024365625734458,394,0.5
100,100,0.8,0.95,8,10,0.45413479446393407,0.6536997884848955,0.19850248303705698,-0.1399938407592468,397,0.5088161209068011
100,100,0.8,0.92,8,10,0.4274896564928167,0.6825752415732552,0.14095098951670515,-0.13006618587165997,400,0.495
50,100,0.8,0.95,8,20,0.339947720976329,0.4522576096191993,0.10188037631946711,-0.16147700391191433,402,0.5024875621890548
50,100,0.8,0.97,8,20,0.27875832514712434,0.3739292586748826,0.07529656183129219,-0.17663407823952915,402,0.5099502487562189
50,200,0.7,0.97,8,10,0.2592482216441935,0.3636378153359097,0.05008456775100312,-0.18702021736081864,399,0.49373433583959897
100,100,0.8,0.9,8,10,0.24738938345734013,0.4394533652975378,0.06939644159652558,-0.13887227476597297,401,0.46384039900249374
100,100,0.8,0.95,8,20,0.22784459894435133,0.32215135422859564,0.09133895769996125,-0.13244564912324808,397,0.4836272040302267
50,200,0.7,0.9,8,20,0.19402778673872764,0.253539059826822,0.029354917377559575,-0.12138557643800252,402,0.4975124378109453
100,100,0.8,0.97,8,20,0.16420531214964407,0.2334545822778167,0.06574704217554506,-0.13019979471639354,394,0.4796954314720812
100,100,0.8,0.92,8,20,0.13888229503745494,0.21140114402324214,0.035557656276079985,-0.13468786507387864,400,0.47
50,200,0.7,0.95,8,20,0.13357339282501626,0.174140726376917,0.0023874499418250483,-0.17506756541335533,399,0.48621553884711777
100,100,0.5,0.97,8,10,0.13042009926424658,0.17739100595826165,0.05923033619236251,-0.1865834243654544,409,0.5036674816625917
100,100,0.7,0.97,8,10,0.12417110730983365,0.1675023864111985,0.056575958558885864,-0.17685231899722853,405,0.49876543209876545
50,100,0.8,0.95,8,10,0.10482960987758355,0.13964985542931013,-0.0017230842514374123,-0.18857883568609668,402,0.48507462686567165
50,100,0.7,0.95,8,20,0.10266097460883548,0.13253217093285166,0.006300769941929296,-0.20912457040837773,411,0.5060827250608273
50,100,0.6,0.85,8,20,0.08234575789951626,0.13509672973502215,0.006538738907663211,-0.11255520487379578,415,0.4530120481927711
