lookback,sigma,flip_hold_days,top_n,Sharpe,Sortino,Total_Return,Max_DD,n_trades
20,4.0,3,5,0.927012633561862,0.5994364005983156,5.008971003011794,-0.20814117113050334,127
20,4.0,3,20,0.927012633561862,0.5994364005983156,5.008971003011794,-0.20814117113050334,127
20,4.0,3,10,0.927012633561862,0.5994364005983156,5.008971003011794,-0.20814117113050334,127
20,4.0,1,10,0.8428801642001976,0.9044757889099908,4.40522888021123,-0.15840439039000564,127
20,4.0,1,5,0.8428801642001976,0.9044757889099908,4.40522888021123,-0.15840439039000564,127
20,4.0,1,20,0.8428801642001976,0.9044757889099908,4.40522888021123,-0.15840439039000564,127
20,4.0,2,20,0.8407450308624669,0.8117401333382767,5.368774280206763,-0.2158594531148661,127
20,4.0,2,5,0.8407450308624669,0.8117401333382767,5.368774280206763,-0.2158594531148661,127
20,4.0,2,10,0.8407450308624669,0.8117401333382767,5.368774280206763,-0.2158594531148661,127
20,4.0,0,5,0.8321245123636588,0.5349703140754365,1.4361081710259924,-0.1920957600369121,127
20,4.0,0,20,0.8321245123636588,0.5349703140754365,1.4361081710259924,-0.1920957600369121,127
20,4.0,0,10,0.8321245123636588,0.5349703140754365,1.4361081710259924,-0.1920957600369121,127
20,4.0,4,5,0.7444067315132014,0.5038202135959934,3.445749819890075,-0.32916421905536675,127
20,4.0,4,20,0.7444067315132014,0.5038202135959934,3.445749819890075,-0.32916421905536675,127
20,4.0,4,10,0.7444067315132014,0.5038202135959934,3.445749819890075,-0.32916421905536675,127
20,4.0,5,10,0.5245558593821757,0.3232213564398484,1.5406875747090294,-0.3400887971575214,127
20,4.0,5,20,0.5245558593821757,0.3232213564398484,1.5406875747090294,-0.3400887971575214,127
20,4.0,5,5,0.5245558593821757,0.3232213564398484,1.5406875747090294,-0.3400887971575214,127
40,5.0,1,5,0.45203041069869826,0.30396322388646185,0.891687517307691,-0.37389086067798805,287
40,5.0,1,20,0.44392161087673027,0.299210444140463,0.8591918488252328,-0.3758994650356674,287
40,5.0,1,10,0.44392161087673027,0.299210444140463,0.8591918488252328,-0.3758994650356674,287
40,5.0,2,5,0.24967227575844778,0.15577017790571374,0.20529232877605574,-0.5092004419429645,287
40,5.0,2,10,0.24585685843236213,0.15323499943842853,0.1943669667531589,-0.5084680797139145,287
40,5.0,2,20,0.24585685843236213,0.15323499943842853,0.1943669667531589,-0.5084680797139145,287
60,5.0,1,20,0.16486787685085308,0.13986939650232588,-0.03142078403363391,-0.6480464673573858,464
60,5.0,1,10,0.16125907210381868,0.13686547448357525,-0.039983841180020074,-0.649127000207619,464
60,5.0,1,5,0.15674805072249567,0.13281376574392914,-0.050829201429376414,-0.6570809743502246,464
40,5.0,3,5,0.12453655993385673,0.06656023043718733,-0.153727324019443,-0.5005121505357947,287
40,5.0,3,10,0.11929077751153844,0.06386331735332812,-0.1649300109433357,-0.5010193134049505,287
40,5.0,3,20,0.11929077751153844,0.06386331735332812,-0.1649300109433357,-0.5010193134049505,287
40,5.0,0,5,0.02894055497186539,0.016715367121194757,-0.11343737263663356,-0.4873982350292664,287
40,5.0,0,20,0.017632962718180267,0.010187825669258977,-0.12783338160361557,-0.48952029916485906,287
40,5.0,0,10,0.017632962718180267,0.010187825669258977,-0.12783338160361557,-0.48952029916485906,287
40,5.0,4,5,0.008165487794540089,0.004344177134626293,-0.4242157293089541,-0.5873597897733923,287
40,5.0,4,10,-0.0019464957381863958,-0.0010344721429412275,-0.43936724501592894,-0.588165221929582,287
40,5.0,4,20,-0.0019464957381863958,-0.0010344721429412275,-0.43936724501592894,-0.588165221929582,287
60,5.0,5,5,-0.041184188772106674,-0.03479057594870757,-0.5881655549342808,-0.875404135677155,464
60,5.0,5,20,-0.043148421746528005,-0.03645956575264844,-0.5911794657303766,-0.8745204013306631,464
60,5.0,5,10,-0.043853791260383704,-0.03708174391106032,-0.5919421508720468,-0.8751457109905401,464
60,5.0,2,20,-0.09183306557167263,-0.07011335550186042,-0.5409185292986405,-0.8525778018667878,464
60,5.0,2,5,-0.0993137920831435,-0.07606042767985048,-0.5492684680409334,-0.8532557892742001,464
60,5.0,2,10,-0.10029526256596437,-0.0764891755597157,-0.5517021825484276,-0.8533984612577697,464
60,5.0,0,20,-0.13593008349637037,-0.11053275667361159,-0.33916699191402366,-0.7095160067416613,464
60,5.0,4,5,-0.1369975362314804,-0.10874611367121317,-0.677282695115233,-0.9050884420893994,464
60,5.0,0,10,-0.13837143308236444,-0.11244643667682833,-0.34184874085935935,-0.7096177370713649,464
60,5.0,4,20,-0.14076989716332325,-0.11168815269085057,-0.6809921353643875,-0.9044098413506327,464
60,5.0,4,10,-0.14088823485212013,-0.11178671445539727,-0.6811561770943443,-0.9049821156870265,464
60,5.0,0,5,-0.14919785919587775,-0.12093593359779191,-0.35428085794195785,-0.7142794531065699,464
60,5.0,3,20,-0.153403101906815,-0.11678095132588129,-0.6523267837505852,-0.882989693163887,464
60,5.0,3,10,-0.15652751864548284,-0.1192015058025279,-0.6553992169437074,-0.8835962331779248,464
60,5.0,3,5,-0.15788298509929652,-0.11992882042557958,-0.6573058893696782,-0.8850326638839526,464
40,5.0,5,5,-0.1721679791818861,-0.0929873374942742,-0.6644633123382493,-0.6876206871645498,287
120,5.0,1,5,-0.1737518124865321,-0.15767526053482014,-0.6054274318397866,-0.7787658554258323,561
120,5.0,1,20,-0.17471315231154697,-0.15903220682740954,-0.6056325780176776,-0.7783948085322705,561
120,5.0,1,10,-0.17504554876369371,-0.159364342691059,-0.6063675856202357,-0.7783692102533449,561
40,5.0,5,10,-0.1817912377935329,-0.09808672470072027,-0.6729046296178287,-0.6931148348301344,287
40,5.0,5,20,-0.1817912377935329,-0.09808672470072027,-0.6729046296178287,-0.6931148348301344,287
20,3.5,4,5,-0.22130238326503213,-0.1972117946514921,-0.7970540406756979,-0.8985079561899033,640
20,3.5,4,10,-0.2260622640788219,-0.20178316825783085,-0.7996955778396869,-0.8971254836519686,640
20,3.5,4,20,-0.22818243366392107,-0.2037330472487429,-0.8009519538211954,-0.8974448391383378,640
20,3.5,3,20,-0.26501302201687366,-0.2299448029780737,-0.7915869305966075,-0.879523181291505,640
20,3.5,3,5,-0.26544803371382764,-0.22857599693369426,-0.7940770172548758,-0.8828407039686068,640
20,3.5,3,10,-0.2711056421589131,-0.23497968926619117,-0.7960819817042913,-0.8818709634757209,640
10,2.5,2,5,-0.2785610142925591,-0.4009149610037249,-0.8694139828884683,-0.8878683093578986,959
10,2.5,2,20,-0.2821007177160219,-0.40627615120682536,-0.8708399053634829,-0.8840822333169673,959
10,2.5,2,10,-0.2822652057850524,-0.40630727223176344,-0.8709189028433617,-0.8844118939459282,959
20,3.5,5,5,-0.2867157283294239,-0.2645221280508667,-0.854020208934527,-0.9018280836947992,640
20,3.5,5,10,-0.2876386605346666,-0.2659559840238971,-0.8540430053812061,-0.9021356165704788,640
20,3.5,1,20,-0.2879726601557573,-0.2655108891503649,-0.695974670716792,-0.8250409090707546,640
20,3.5,5,20,-0.2880474423998182,-0.26658567860514776,-0.8539345246289431,-0.901505011594737,640
20,3.5,1,5,-0.2902533731604932,-0.2673341122261829,-0.6986784457945703,-0.8297419078250559,640
120,5.0,2,20,-0.29042391363108794,-0.249110954924293,-0.7637948138608909,-0.890888224506554,561
120,5.0,2,5,-0.29142702049952934,-0.2489305777580315,-0.7651643010134117,-0.8908631133925077,561
20,3.5,1,10,-0.2932816714708728,-0.2704726176749909,-0.70020781149047,-0.8274650550317932,640
120,5.0,2,10,-0.2935387487948508,-0.25128083317222305,-0.7664825165695628,-0.8910350811387575,561
10,2.5,3,5,-0.3120116953625514,-0.42065722239609016,-0.8985634234160016,-0.9056247454401318,959
20,3.5,2,20,-0.31468893084249083,-0.2705414357087741,-0.7761863732431201,-0.87688259886906,640
20,3.5,2,5,-0.319376678607122,-0.27442614408744426,-0.7799427852750369,-0.8800721122298579,640
20,3.5,2,10,-0.321046173488554,-0.2757659339206685,-0.7806341121625167,-0.8787649397836391,640
10,2.5,3,10,-0.3219598833920357,-0.43318174910855806,-0.902109060489493,-0.9085149342567361,959
10,2.5,3,20,-0.3256916529220224,-0.43697507014866943,-0.9038939282640243,-0.910183002277255,959
10,2.5,4,5,-0.3274124873521478,-0.449996958317042,-0.9337393244459226,-0.937211801836213,959
10,2.5,4,10,-0.3290917662739573,-0.45289603039740894,-0.9338761219485813,-0.9367622165873178,959
