Year,Available,Ret_A,Sh_A,DD_A,Ret_B,Sh_B,DD_B,Ret_C,Sh_C,DD_C,Ret_D,Sh_D,DD_D,Ret_Fixed,Sh_Fixed,DD_Fixed,Ret_Mom,Sh_Mom,DD_Mom,Ret_QQQ
1997,A,0.03415737362176441,0.3866388682877272,-0.20064819372500153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03415737362176441,0.3866388682877272,-0.20064819372500153,0.03415737362176441,0.3866388682877272,-0.20064819372500153,0.0
1998,A,2.0981763646144036,2.950342489887637,-0.33425567088358843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0981763646144036,2.950342489887637,-0.33425567088358843,2.0981763646144036,2.950342489887637,-0.33425567088358843,0.0
1999,A,2.8758895551809247,2.7032282323203907,-0.32402820876005556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8758895551809247,2.7032282323203907,-0.32402820876005556,2.8758895551809247,2.7032282323203907,-0.32402820876005556,0.7894736655661516
2000,A,0.5431512347094414,0.9555383897017646,-0.6539353116615838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5431512347094414,0.9555383897017646,-0.6539353116615838,0.5431512347094414,0.9555383897017646,-0.6539353116615838,-0.36114915230817657
2001,A,0.1979086611225953,0.6721211375811951,-0.3820036892923315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1979086611225953,0.6721211375811951,-0.3820036892923315,0.1979086611225953,0.6721211375811951,-0.3820036892923315,-0.33344757131320213
2002,A,-0.14760264339783036,-0.26902408872110917,-0.3862603364460633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14760264339783036,-0.26902408872110917,-0.3862603364460633,-0.14760264339783036,-0.26902408872110917,-0.3862603364460633,-0.37368284524255346
2003,A,0.9029576860791992,2.1481618584130744,-0.14211293340797604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9029576860791992,2.1481618584130744,-0.14211293340797604,0.9029576860791992,2.1481618584130744,-0.14211293340797604,0.49668670546016624
2004,A,1.9157356406569899,3.2138111189736,-0.20787188850867022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9157356406569899,3.2138111189736,-0.20787188850867022,1.9157356406569899,3.2138111189736,-0.20787188850867022,0.10538458152810781
2005,A,0.41169982804416283,1.447025296473971,-0.23077509687659237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41169982804416283,1.447025296473971,-0.23077509687659237,0.41169982804416283,1.447025296473971,-0.23077509687659237,0.015654714029170513
2006,A,-0.07342148786850466,-0.11379233459803652,-0.37773221771708587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07342148786850466,-0.11379233459803652,-0.37773221771708587,-0.07342148786850466,-0.11379233459803652,-0.37773221771708587,0.07144078212845795
2007,A,1.4065496689708201,2.6675377326362675,-0.16457941358022177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4065496689708201,2.6675377326362675,-0.16457941358022177,1.4065496689708201,2.6675377326362675,-0.16457941358022177,0.19028000536372636
2008,A,-0.28263112524402567,-0.4654958691415073,-0.4851133638096473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28263112524402567,-0.4654958691415073,-0.4851133638096473,-0.28263112524402567,-0.4654958691415073,-0.4851133638096473,-0.4172714215364062
2009,A,-0.01269433316138524,0.157278582973179,-0.3872892861592264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01269433316138524,0.157278582973179,-0.3872892861592264,-0.01269433316138524,0.157278582973179,-0.3872892861592264,0.5468406911933685
2010,A,0.6392360791785412,1.5431703923150222,-0.27371834510377036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6392360791785412,1.5431703923150222,-0.27371834510377036,0.6392360791785412,1.5431703923150222,-0.27371834510377036,0.20143798847614613
2011,A,-0.21762333846248338,-0.3106321158271146,-0.5038310448591969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21762333846248338,-0.3106321158271146,-0.5038310448591969,-0.21762333846248338,-0.3106321158271146,-0.5038310448591969,0.034757753978797545
2012,A,0.45953207124528506,1.4079993974737848,-0.23394571779730922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45953207124528506,1.4079993974737848,-0.23394571779730922,0.45953207124528506,1.4079993974737848,-0.23394571779730922,0.1811256883391732
2013,A,1.4212685703629546,2.8779557645730236,-0.12151462686200187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4212685703629546,2.8779557645730236,-0.12151462686200187,1.4212685703629546,2.8779557645730236,-0.12151462686200187,0.36634146721237393
2014,A,0.2227175799478318,0.8171682268732412,-0.2619197058975611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2227175799478318,0.8171682268732412,-0.2619197058975611,0.2227175799478318,0.8171682268732412,-0.2619197058975611,0.19181436692229537
2015,A,0.49000732896879584,1.0907003317385147,-0.3149237892114014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49000732896879584,1.0907003317385147,-0.3149237892114014,0.49000732896879584,1.0907003317385147,-0.3149237892114014,0.09435878118555174
2016,A,-0.03830643483348117,0.017240584345076047,-0.33550941005880675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03830643483348117,0.017240584345076047,-0.33550941005880675,-0.03830643483348117,0.017240584345076047,-0.33550941005880675,0.07097916235763035
2017,A,0.24080889099027258,0.9018952964088197,-0.1420450772372045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24080889099027258,0.9018952964088197,-0.1420450772372045,0.24080889099027258,0.9018952964088197,-0.1420450772372045,0.3266352404622943
2018,A,0.6972316390923683,1.4724119612581459,-0.30278126815647954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6972316390923683,1.4724119612581459,-0.30278126815647954,0.6972316390923683,1.4724119612581459,-0.30278126815647954,-0.001262069684726863
2019,A+C+D,0.2714152685970237,0.8922680712733482,-0.17271264324949331,0.0,0.0,0.0,-0.005952380952380931,-0.9999999999999999,-0.005952380952380931,0.16531671318874186,1.7064426550811724,-0.02394332812382627,0.1519513229907068,1.2585023351269156,-0.058451137873169356,0.49982585604465535,1.9546253708600887,-0.06915120224032856,0.3896155773376948
2020,A+C+D,5.012541902812919,3.032777328625686,-0.28009561251580994,0.0,0.0,0.0,0.10556773044129297,0.7032669476173311,-0.04569354457377983,0.1938917531964841,2.0932433841436393,-0.05419865574811766,1.0030592387337363,3.299326342718585,-0.09919582657047954,4.837570490772335,3.1476637789843966,-0.28009561251580994,0.48406139192137987
2021,A+B+C+D,-0.20350574996395587,-0.3714687737610989,-0.4894930483424361,0.20163620135603533,1.5813449569870899,-0.06865500326603347,0.9723158585006704,1.3211010816748354,-0.1365246413461334,0.5378215920048628,3.7600667552810956,-0.027109864555500796,0.3648760095382626,1.6847117339370292,-0.09925023482741191,1.0854181770391138,2.829807987217522,-0.06254561856789587,0.2741970836764005
2022,A+B+C+D,0.2086174615958496,0.685499658315561,-0.1962599409978365,0.043928938536700546,0.5225512126396571,-0.07799283648593314,0.27209583824087336,1.0649227217230768,-0.11236940976668841,0.5175398833787637,2.2524029946323445,-0.10404787212617805,0.2793188529164976,2.042195943846642,-0.0821653967086855,0.8457369562776891,3.7235313635769636,-0.04680360030963504,-0.32577000017170576
2023,A+B+C+D,0.5207476061707679,1.3279883173287597,-0.30257059820661414,0.09223645425964921,1.473202806788398,-0.05422907503922092,0.18704805967566762,1.1677014334796911,-0.10657996476311515,0.35552552025818107,2.6757475213636037,-0.05959022818800852,0.29836561665336436,2.3339832802787055,-0.07333530976850144,0.712037348122881,4.080585302844159,-0.054195101924563005,0.5485560042504047
2024,A+B+C+D,0.690537403213676,1.321204795706462,-0.20425139056879504,0.2061134822376467,1.7666622639605465,-0.06881568227074497,-0.12053695596959546,-0.37940732524290416,-0.2344569456463369,0.33978445656837875,2.807905077475549,-0.050774637775763964,0.2803529000904974,1.6537939013424632,-0.12015576539412365,0.5981926383361604,2.665726753590075,-0.10083402714469869,0.255782390416307
2025,A+B+C+D,1.6721560513704832,1.9185925719320307,-0.3871050376461622,0.1419852084110178,0.9193040207896072,-0.11079775645718859,0.1158245696632334,0.6450537353682468,-0.11023185542305858,0.3134680460939552,2.1215183264509414,-0.06898631133616251,0.507569660284616,2.116679660167753,-0.1351137104001341,1.1479595940612808,3.62797729615277,-0.09918435350322907,0.2077256291621825
