Year,Available,Ret_A,Sh_A,DD_A,Ret_B,Sh_B,DD_B,Ret_C,Sh_C,DD_C,Ret_D,Sh_D,DD_D,Ret_Fixed,Sh_Fixed,DD_Fixed,Ret_Mom,Sh_Mom,DD_Mom,Ret_QQQ
1997,A,0.04873699171835266,0.46261505545177084,-0.19932517142151096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04873699171835266,0.46261505545177084,-0.19932517142151096,0.04873699171835266,0.46261505545177084,-0.19932517142151096,0.0
1998,A,2.196899936447051,3.0265516298323436,-0.3317181502201346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.196899936447051,3.0265516298323436,-0.3317181502201346,2.196899936447051,3.0265516298323436,-0.3317181502201346,0.0
1999,A,2.989367904822847,2.754932748989618,-0.3211133821557405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.989367904822847,2.754932748989618,-0.3211133821557405,2.989367904822847,2.754932748989618,-0.3211133821557405,0.7894736655661516
2000,A,0.5949724412233035,0.9997167059953939,-0.6528021134759731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5949724412233035,0.9997167059953939,-0.6528021134759731,0.5949724412233035,0.9997167059953939,-0.6528021134759731,-0.36114915230817657
2001,A,0.23752420352294412,0.7578977425199984,-0.3797186721962865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23752420352294412,0.7578977425199984,-0.3797186721962865,0.23752420352294412,0.7578977425199984,-0.3797186721962865,-0.33344757131320213
2002,A,-0.12030198339924592,-0.18099029787920337,-0.3759314552065307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12030198339924592,-0.18099029787920337,-0.3759314552065307,-0.12030198339924592,-0.18099029787920337,-0.3759314552065307,-0.37368284524255346
2003,A,0.9588077037829628,2.237535358030217,-0.14091572532153507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9588077037829628,2.237535358030217,-0.14091572532153507,0.9588077037829628,2.237535358030217,-0.14091572532153507,0.49668670546016624
2004,A,2.0133307671591107,3.307391675917096,-0.20616355207373904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0133307671591107,3.307391675917096,-0.20616355207373904,2.0133307671591107,3.307391675917096,-0.20616355207373904,0.10538458152810781
2005,A,0.45681680893095167,1.5671893337066325,-0.2250551183510281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45681680893095167,1.5671893337066325,-0.2250551183510281,0.45681680893095167,1.5671893337066325,-0.2250551183510281,0.015654714029170513
2006,A,-0.04237359700108334,-0.001139598270035094,-0.370215197209962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04237359700108334,-0.001139598270035094,-0.370215197209962,-0.04237359700108334,-0.001139598270035094,-0.370215197209962,0.07144078212845795
2007,A,1.4829943485968071,2.7564009836922936,-0.16204969613004938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4829943485968071,2.7564009836922936,-0.16204969613004938,1.4829943485968071,2.7564009836922936,-0.16204969613004938,0.19028000536372636
2008,A,-0.2572288422054051,-0.3921397928303768,-0.4755909734901558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2572288422054051,-0.3921397928303768,-0.4755909734901558,-0.2572288422054051,-0.3921397928303768,-0.4755909734901558,-0.4172714215364062
2009,A,0.016366214998912776,0.23336246660730184,-0.3782997073636767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016366214998912776,0.23336246660730184,-0.3782997073636767,0.016366214998912776,0.23336246660730184,-0.3782997073636767,0.5468406911933685
2010,A,0.6942345309064297,1.6341496178676151,-0.26931643740243805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6942345309064297,1.6341496178676151,-0.26931643740243805,0.6942345309064297,1.6341496178676151,-0.26931643740243805,0.20143798847614613
2011,A,-0.19128729907702147,-0.23803425649103932,-0.49941928132069435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19128729907702147,-0.23803425649103932,-0.49941928132069435,-0.19128729907702147,-0.23803425649103932,-0.49941928132069435,0.034757753978797545
2012,A,0.505797217483023,1.511711966887868,-0.23180947481648273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505797217483023,1.511711966887868,-0.23180947481648273,0.505797217483023,1.511711966887868,-0.23180947481648273,0.1811256883391732
2013,A,1.492290973952946,2.967175959765663,-0.11769617131773702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.492290973952946,2.967175959765663,-0.11769617131773702,1.492290973952946,2.967175959765663,-0.11769617131773702,0.36634146721237393
2014,A,0.2618193108309874,0.9214075648642674,-0.24838977876845114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2618193108309874,0.9214075648642674,-0.24838977876845114,0.2618193108309874,0.9214075648642674,-0.24838977876845114,0.19181436692229537
2015,A,0.5362224438802661,1.1571821271584264,-0.3080329989902627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5362224438802661,1.1571821271584264,-0.3080329989902627,0.5362224438802661,1.1571821271584264,-0.3080329989902627,0.09435878118555174
2016,A,-0.007522525832528992,0.1231496155091099,-0.32761998301676354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007522525832528992,0.1231496155091099,-0.32761998301676354,-0.007522525832528992,0.1231496155091099,-0.32761998301676354,0.07097916235763035
2017,A,0.2803258342896726,1.0123850397300975,-0.13700245553112245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2803258342896726,1.0123850397300975,-0.13700245553112245,0.2803258342896726,1.0123850397300975,-0.13700245553112245,0.3266352404622943
2018,A,0.7492212563414984,1.5444339580303164,-0.29935278146963096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7492212563414984,1.5444339580303164,-0.29935278146963096,0.7492212563414984,1.5444339580303164,-0.29935278146963096,-0.001262069684726863
2019,A+C+D,0.3123523301241826,0.9885221144476218,-0.1690652250720559,0.0,0.0,0.0,-0.0029523809523809286,-1.0000000000000004,-0.0029523809523809286,0.169067380748543,1.738163438641427,-0.02382794350844164,0.1666228579974558,1.3670415955394004,-0.056892764162846166,0.5231544975283238,2.0195029532109503,-0.06899495224032859,0.3896155773376948
2020,A+C+D,5.1834037858728905,3.0755403693298056,-0.27863856384061747,0.0,0.0,0.0,0.11524839141531462,0.7495879833564146,-0.04269354457377983,0.20827973765176733,2.2282323337197774,-0.053755928484286786,1.0301101635937693,3.3603758690118903,-0.09859308692688074,5.028219829235435,3.2007917044673544,-0.27863856384061747,0.48406139192137987
2021,A+B+C+D,-0.1800639231879536,-0.2987966364328973,-0.4769304590948058,0.2035339009744317,1.593604117294214,-0.06838305352343121,1.0472426809557431,1.3742641045252284,-0.12046661069581888,0.5831131648421224,4.010007939311213,-0.02654534918257645,0.3987345848493824,1.8038314516238767,-0.09400432081675791,1.114435158144925,2.945647169580963,-0.060138079297183844,0.2741970836764005
2022,A+B+C+D,0.24398796063445505,0.7612296095865735,-0.1954947836017411,0.04523267164668998,0.5363185039009323,-0.07776754099794747,0.3060384825908058,1.1558874235837286,-0.10669933667530862,0.561337644385999,2.39958625859184,-0.10092972777942122,0.3069438206952402,2.210905516186653,-0.08062760864028806,0.8887321503782954,3.843764114222177,-0.045919988322879246,-0.32577000017170576
2023,A+B+C+D,0.5650266959092021,1.4064539274724575,-0.29821495931268205,0.0935980305857369,1.49208697271778,-0.05386269627399587,0.27492320479326904,1.58725734560686,-0.09064848032123118,0.3951464825963453,2.923802890902735,-0.059149333862044684,0.3414678889703646,2.615389963892556,-0.06849291374139765,0.7769855920541713,4.339072341581539,-0.05363100955896649,0.5485560042504047
2024,A+B+C+D,0.7406222136204714,1.3813122778224278,-0.20222260851950113,0.20883130181884968,1.7861687749982524,-0.06840944905733526,-0.014033013239417857,0.07053943162810339,-0.20814117113050312,0.37926521750240316,3.081637398055597,-0.049234376714848094,0.3373824303439603,1.929815387629967,-0.11701296400690053,0.6273932026399276,2.855917360737624,-0.0928900197394229,0.255782390416307
2025,A+B+C+D,1.7602813525586876,1.9719503048977653,-0.38389325429000054,0.1446719492276265,0.9339988083786135,-0.11070708344927915,0.216765718292653,1.065024588480508,-0.1050268547408505,0.35186492564160154,2.3388055799678833,-0.0676884022024683,0.5654234098851161,2.3030365124896592,-0.1302542663953835,1.145843474617593,3.8801363703649647,-0.09202204738151565,0.2077256291621825
2026,A+B+C+D,2.1224235560654967,5.019002418515945,-0.09992648281252148,0.3691337927258529,2.4591641938764828,-0.16207198359916242,0.27757993086814414,2.6612877676962094,-0.0605484774916345,0.20400300080596412,3.465802915006689,-0.027139961363383702,0.6324208780809693,6.557378835162463,-0.028067906449570468,0.9095874270482178,6.20046445737425,-0.03962523952112618,0.1491739105348291
