,A,B,C,D,E
2024-04-01,0.009464940991521948,0.0,0.0,0.0011794792838044758,0.0
2024-04-02,-0.010296313352622271,0.006378925496235154,0.0,-0.0018140578845852102,0.0
2024-04-03,0.016341052258205608,-0.013600303485746236,-0.05842153387431695,0.00046036607141467043,0.0
2024-04-04,-0.03798689556824804,-0.011708069150077072,0.0,-0.0033398469526085784,0.0
2024-04-05,0.018563007730364605,0.0043157485592923974,0.0,0.005592414039332165,0.0
2024-04-08,-0.001604907390197102,0.0041912870630075975,0.0,0.0026579624862006976,0.0
2024-04-09,-0.04465123183608904,0.009478279778472175,0.0,-0.002685683045117829,0.0
2024-04-10,0.03547429430609212,-0.009341534530168472,0.0,-0.0022645038208193658,0.0
2024-04-11,0.021051411559414583,0.0039937391975829895,0.0,-0.0007557885143834565,0.0
2024-04-12,-0.042914236299660076,-0.02273205753986911,-0.14224536241035848,-0.004659968299813436,0.0
2024-04-15,-0.0533949773861824,-0.026446080214505296,0.0,-0.0054627379072549965,0.0
2024-04-16,0.00696320036725015,0.004073057146098868,0.0,-0.0027672308032084926,0.0
2024-04-17,-0.016770202924274075,0.0009679661106223532,0.0,-0.0006088813584917087,0.0
2024-04-18,-0.009619524825877607,-0.0002793238490944597,0.0,-0.006192688025264674,0.0
2024-04-19,-0.0741270000467315,0.012873323265667324,0.0,-0.01042108696434925,0.0
2024-04-22,0.04635892418110944,0.006509141641435833,0.0,0.009207559631605399,0.0
2024-04-23,0.037163256261518854,0.027296985970339048,0.0,0.011782010175186845,0.0
2024-04-24,-0.00371382999988748,0.000654004537485164,0.0,0.0036282875492373,0.0
2024-04-25,0.023144078475650115,-0.00047409865424599164,0.0,0.03993141519506228,0.0
2024-04-26,0.04323310427036317,-0.004076432024367383,0.0,-0.0018348967348051264,0.0
2024-04-29,0.010981871555270478,0.0,0.0,0.0024133099941874166,0.0
2024-04-30,-0.06487715060103327,0.0,0.0,-0.015602520646237296,0.0
2024-05-01,-0.03611874831752533,0.0,0.0,0.0004426743426361471,0.0
2024-05-02,0.05992306857458293,0.0,0.0269664642154801,0.004288216440980643,0.0
2024-05-03,0.022601315562075692,0.0,0.0,0.0049783556861491005,0.0
2024-05-06,0.03614606716267627,0.0,0.0,0.002193599325221415,0.0
2024-05-07,-0.02423689553945186,0.0,0.0,0.0017226764462828933,0.0
2024-05-08,0.01785819796095271,0.0,0.0,0.005593478312575189,0.0
2024-05-09,0.00784629605985529,0.0,0.0,0.0033379686679658733,0.0
2024-05-10,-0.027419028124152672,0.0,0.0,-0.003950659445151992,0.0
2024-05-13,-0.0027178090417168174,0.0,0.010821633562144002,0.004427936379588764,0.0
2024-05-14,0.03288788325463753,0.0,0.0,0.006116411013712667,0.0
2024-05-15,0.10348140847559385,0.0,0.0,-8.540556337484952e-05,0.0
2024-05-16,-0.059387324419539075,0.0,0.0,-0.0004841403753094131,0.0
2024-05-17,0.02566829322630539,0.0,0.0,0.002697931629969293,0.0
2024-05-20,0.038050330077585466,0.0,0.0,-0.002664482649471584,0.0
2024-05-21,-0.0035622418989308454,0.0,0.0,0.001071775662602094,0.0
2024-05-22,0.00017635097187928574,0.0,0.0,-0.003930923473840054,0.0
2024-05-23,-0.0234435410263129,0.0,0.0,-0.008525811721042902,0.0
2024-05-24,0.06592910208185726,0.0,0.0,0.0018745968315393626,0.0
2024-05-27,0.0,0.0,0.0,0.0,0.0
2024-05-28,0.008865168979307886,0.0,0.030892879725300835,-0.0036130570304620108,0.0
2024-05-29,-0.030399083333012427,0.0,0.13688647463152698,-0.006349978032495861,0.0
2024-05-30,-0.01267771816041297,0.0,0.0,0.0012406342294209666,0.0
2024-05-31,-0.04058613342099749,0.0,-0.03084424508052246,0.003818213660832318,0.0
2024-06-03,-0.0012194983650394785,0.0,0.0,0.01065234712619119,0.0
2024-06-04,-0.0038180255017683353,0.0,0.0,-0.003365258086636394,0.0
2024-06-05,0.029792820684007675,0.0,0.0,0.022677038383516215,0.0
2024-06-06,-0.015668128021493626,0.0,0.0,-0.010386953490304418,0.0
2024-06-07,-0.01900958684242456,0.0,0.0,0.004876224291443268,0.0
2024-06-10,0.01966211244009077,0.0,0.0,0.00043607946284023177,0.0
2024-06-11,-0.01566155249441486,0.0,0.007103136866895839,0.008553376404742161,0.0
2024-06-12,0.02851795983476175,0.0,0.0,0.001349254538388593,0.0
2024-06-13,-0.00862333284274162,0.0,0.016158902916840353,0.0012312801348338428,0.0
2024-06-14,-0.01604024924681207,0.0,0.0,-0.005813308256812522,0.0
2024-06-17,0.015265255777600333,0.0,0.0,0.0064542890549734045,0.0
2024-06-18,0.006955840148130837,0.0,0.0,0.003285780039630068,-0.0005523830526349117
2024-06-19,0.0,0.0,0.0,0.0,0.0
2024-06-20,-0.0023795722181137848,0.0,0.0,-0.0011611842203298212,-0.0034650286862821233
2024-06-21,-0.005544992731642756,0.0,0.0,0.005972523999907065,-0.00418200286699244
2024-06-24,-0.02990967172318975,0.0,0.0,-0.004565334516450301,0.0035036079577355217
2024-06-25,0.04839394335812339,0.0,-0.005489508044373384,0.003165267756653821,-0.005310659728243156
2024-06-26,-0.025510268491769367,0.0,0.0,-0.0017594242705994165,-0.001422300757092404
2024-06-27,0.04503011216781365,0.0,0.0,0.0011334047284364008,0.011138537078518251
2024-06-28,-0.04628014737653963,0.0,0.0,-0.0020315532770289156,-0.0031940578175119728
2024-07-01,0.0027620920727159546,0.0,-0.0017843143176373912,-0.003320190520135586,-0.012438760813753022
2024-07-02,8.22512733260785e-05,0.0,0.0,0.0031671213708261824,0.0017368647671744952
2024-07-03,0.006750875429413256,0.0,0.0,0.0007523260538843506,0.016125645903224777
2024-07-04,0.0,0.0,0.0,0.0,0.0
2024-07-05,-0.009415846820166524,0.0,0.0,0.006877273871149361,-0.0024640150922092077
2024-07-08,0.009735707905839613,0.0,0.0,0.00029072676190394027,-0.0051810673097188635
2024-07-09,0.002459162306980639,0.0,0.0,-0.0022018894353589835,0.0012331584243264009
2024-07-10,0.011336271320870844,0.0,0.0,0.007575362643477216,0.004390301106890839
2024-07-11,-0.0021431332574466883,0.0,0.0,0.006233739445771102,0.010010321713268345
2024-07-12,0.022298919736597804,0.0,0.0,0.002753965463703824,0.007826639455428941
2024-07-15,0.047877414579411186,0.0,0.0,0.0005098181943309299,-0.008228863031027434
2024-07-16,0.012225963083775077,0.0,0.0,0.0025611412748028336,0.013517467569703933
2024-07-17,-0.06298907785537942,0.0,0.0,-0.018876533231318927,-0.010500221102002993
2024-07-18,-0.026882757120677475,0.0,0.0,-0.007508919703647084,-0.005578772350981897
2024-07-19,0.04947203991444126,0.0,0.0,-0.00038287778426844413,0.0235784564031571
2024-07-22,0.010514763396391342,0.0,0.0,0.012170454424687201,0.010032705746002159
2024-07-23,-0.012787424516800644,0.0,0.0,-0.00014911778165823287,-0.011636730097637438
2024-07-24,-0.061530903781644455,0.0,0.0,-0.009219560092573093,0.012657121360089629
2024-07-25,-0.02866160640440512,0.0,0.0,-0.009454966282361008,-0.01067840829168636
2024-07-26,0.04878442441804136,0.0,0.015199471564087498,0.011099769145319998,0.015877120265984913
2024-07-29,-0.0267925669951721,0.0,0.0039564056511172795,0.005226884262332371,0.0015184710802639944
2024-07-30,-0.03475241621665615,0.0,0.0,-0.0008142580467741362,0.004420332147956008
2024-07-31,0.051359808437118175,0.0,0.0,0.006272336769083508,0.009533652130318027
2024-08-01,-0.01987238538012402,0.0,0.0,-0.004152502809272286,0.0
2024-08-02,-0.043808047495299526,-0.0005002571715830188,-0.03012458234049582,-0.011904647662810163,0.0
2024-08-05,-0.04275904358018028,-0.018281452064827054,0.0,-0.014758541172797473,0.0
2024-08-06,0.03797335448309642,0.0070777348530024035,0.0,0.012560969559595247,0.0
2024-08-07,-0.04904106066081729,-0.03307957279316922,0.0,-0.0015671019962594278,0.0
2024-08-08,0.05373776139447255,0.023832410057596953,-0.006447363270082834,0.014092104204555806,0.0
2024-08-09,0.007112770449828093,-0.0020560427945284458,-0.01988086300359717,0.0003751445667437653,0.0
2024-08-12,-0.002896375257759637,0.0006727211136744678,0.0,-0.002884687714467328,0.0
2024-08-13,0.05083871517113824,0.0022449640682867585,0.0,0.014789550456509213,0.0
2024-08-14,-0.0173778314968764,-0.005600570540308004,0.0,7.757188746688093e-06,0.0
2024-08-15,0.027306186580189212,0.0,0.0,-0.0041300290404334816,0.0
2024-08-16,0.010399836062727314,0.0,0.0,0.005591208762569648,0.0
2024-08-19,0.01884483838861108,0.0,0.0,0.005986106210325972,0.0
2024-08-20,-0.015283245248224313,0.0,0.0,0.004654932487025686,0.0
