Year,Wt_A,Wt_C,Wt_B,Cont_A,Cont_C,Cont_B,Port_Ret
1997,1.0,0.0,0.0,0.04873699171835266,0.0,0.0,0.04873699171835266
1998,1.0,0.0,0.0,2.196899936447051,0.0,0.0,2.196899936447051
1999,1.0,0.0,0.0,2.989367904822847,0.0,0.0,2.989367904822847
2000,1.0,0.0,0.0,0.5949724412233035,0.0,0.0,0.5949724412233035
2001,1.0,0.0,0.0,0.23752420352294412,0.0,0.0,0.23752420352294412
2002,1.0,0.0,0.0,-0.12030198339924592,0.0,0.0,-0.12030198339924592
2003,1.0,0.0,0.0,0.9588077037829628,0.0,0.0,0.9588077037829628
2004,1.0,0.0,0.0,2.0133307671591107,0.0,0.0,2.0133307671591107
2005,1.0,0.0,0.0,0.45681680893095167,0.0,0.0,0.45681680893095167
2006,1.0,0.0,0.0,-0.04237359700108334,0.0,0.0,-0.04237359700108334
2007,1.0,0.0,0.0,1.4829943485968071,0.0,0.0,1.4829943485968071
2008,1.0,0.0,0.0,-0.2572288422054051,0.0,0.0,-0.2572288422054051
2009,1.0,0.0,0.0,0.016366214998912776,0.0,0.0,0.016366214998912776
2010,1.0,0.0,0.0,0.6942345309064297,0.0,0.0,0.6942345309064297
2011,1.0,0.0,0.0,-0.19128729907702147,0.0,0.0,-0.19128729907702147
2012,1.0,0.0,0.0,0.505797217483023,0.0,0.0,0.505797217483023
2013,1.0,0.0,0.0,1.492290973952946,0.0,0.0,1.492290973952946
2014,1.0,0.0,0.0,0.2618193108309874,0.0,0.0,0.2618193108309874
2015,1.0,0.0,0.0,0.5362224438802661,0.0,0.0,0.5362224438802661
2016,1.0,0.0,0.0,-0.007522525832528992,0.0,0.0,-0.007522525832528992
2017,1.0,0.0,0.0,0.2803258342896726,0.0,0.0,0.2803258342896726
2018,1.0,0.0,0.0,0.7492212563414984,0.0,0.0,0.7492212563414984
2019,0.5,0.5,0.0,0.1561761650620913,-0.0014761904761904643,0.0,0.15929535120903848
2020,0.4268774703557312,0.4268774703557312,0.1462450592885375,2.21267829594574,0.04919694178993667,0.0,1.6066636146106354
2021,0.33333333333333326,0.33333333333333326,0.33333333333333326,-0.06002130772931786,0.3490808936519143,0.06784463365814389,0.33154623904239267
2022,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.081329320211485,0.1020128275302686,0.015077557215563326,0.22327468607164724
2023,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.188342231969734,0.09164106826442299,0.03119934352857896,0.3209203679846515
2024,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.24687407120682375,-0.004677671079805951,0.06961043393961655,0.31761430057509576
2025,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.5867604508528957,0.07225523943088433,0.048223983075875484,0.6361406758570467
2026,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.7074745186884991,0.09252664362271475,0.12304459757528433,0.7988165607757112
