ma_window,bubble_threshold,mom_lookback,hold_hours,top_n,total_return,annual_return,sharpe,max_drawdown,win_rate,n_trades
500,-0.7,6,4,5,-0.16113306132328298,-0.04468018261632967,-1.36552607837129,-0.18460126529371612,1.6021573604060912,252
252,-0.7,13,4,5,-0.18293045347326742,-0.05120099062910988,-1.4104371981257653,-0.2138632166378881,1.4945250073986387,266
252,-0.7,6,4,5,-0.1770412012899546,-0.049426622310197565,-1.4320499061869516,-0.20390583046029942,1.4649304527966855,266
500,-0.7,6,26,5,-0.03534089977602439,-0.009316641396053149,-1.5115161809913165,-0.035488289164986586,0.2472187886279357,55
1000,-0.7,6,4,10,-0.17104743121251553,-0.0476303837731753,-1.543538832539494,-0.17865713360273616,1.6592095451155853,232
1000,-0.7,6,4,5,-0.19601411516013345,-0.05517708444113312,-1.5530190180911037,-0.20789457570749947,1.5659955257270695,232
252,-0.7,26,8,5,-0.11737923869149003,-0.03196030669613614,-1.5849186385668967,-0.1281807325414943,0.8495520543713315,154
252,-0.7,26,4,5,-0.19026340183868484,-0.05342360400075219,-1.627865226210984,-0.21955168489638743,1.6424977804084049,266
252,-0.7,13,26,5,-0.039489144841346246,-0.01042668632866861,-1.6356765788141938,-0.041967016779414945,0.34281796366129585,68
252,-0.7,26,13,5,-0.07900482792560637,-0.02118285962583699,-1.6436209127613939,-0.08699647239187602,0.6126068031597615,112
252,-0.7,13,8,5,-0.12115174993426481,-0.03303841037658617,-1.6455232266299926,-0.12698112882223522,0.8958912573370404,154
252,-0.7,13,13,5,-0.07835317063650038,-0.021002735061061983,-1.6814790160221842,-0.08489139318615901,0.5964855714976625,112
500,-0.7,6,8,5,-0.10603337602529306,-0.028738311587144683,-1.684636695682241,-0.11681541735573775,0.7397665625513727,139
1000,-0.7,6,26,5,-0.03509382568707009,-0.00925063740791865,-1.7781683427224708,-0.037865118267561115,0.2849582739670263,45
1000,-0.5,6,13,5,-0.08194455069507234,-0.021996602412920008,-1.7924515297031756,-0.08351315504574797,1.0161254694057875,127
252,-0.7,6,8,5,-0.12992979980073627,-0.035560308371497484,-1.8018194388433133,-0.1366493572248172,0.8341056533827619,154
1000,-0.5,13,13,5,-0.08072167134701935,-0.021657864122639703,-1.826825274573206,-0.08114457917609652,1.0161254694057875,127
1000,-0.7,13,4,5,-0.2014896226076094,-0.05685529551658697,-1.861095528561333,-0.2049416725289247,1.4727815063385532,232
252,-0.7,6,26,5,-0.043514392245877165,-0.011507213715915676,-1.8816489150714464,-0.046639601916784734,0.29139526911210145,68
500,-0.7,6,26,10,-0.03811447900111242,-0.01005844192420935,-1.8976505225410232,-0.03811447900111242,0.2472187886279357,55
252,-0.7,26,26,5,-0.04930857199994254,-0.013068511359924706,-1.8982097986638156,-0.05351405211038196,0.29139526911210145,68
500,-0.7,13,26,5,-0.040876141594190396,-0.010798629322345987,-1.9031887634631013,-0.040876141594190396,0.300194243333922,55
1000,-0.7,26,26,5,-0.034829977796292044,-0.009180166229484255,-1.9050323227881845,-0.035141655936012706,0.24424994911459394,45
500,-0.7,6,4,10,-0.17819526209086067,-0.04977358660053155,-1.9159867313686831,-0.1889988801040633,1.4276649746192893,252
252,-0.7,6,13,5,-0.09064354151592702,-0.024415912085819724,-1.9253467968729354,-0.0962772943362653,0.5642431081734645,112
500,-0.7,6,13,5,-0.069272795031183,-0.018502578770794975,-1.9532107732975534,-0.07207074190394747,0.42122999157540014,93
1000,-0.5,13,4,5,-0.25331057187054085,-0.07317567008514081,-1.9956500788463283,-0.25498207058247346,2.9802000408246583,387
252,-0.7,13,4,10,-0.20116807998050978,-0.05675650966317536,-1.9964550163697623,-0.22462373898289933,1.331754957087896,266
1000,-0.7,6,13,5,-0.07517485770396504,-0.02012556571979851,-1.998537929859858,-0.07517485770396504,0.45071526553008034,79
500,-0.7,26,26,5,-0.044396219664902814,-0.011744378362415264,-2.021151886086241,-0.044396219664902814,0.2472187886279357,55
1000,-0.7,6,13,10,-0.06922375236602296,-0.018489124645454713,-2.0260901693005184,-0.07162323475728172,0.43111894963746816,79
1000,-0.7,13,13,5,-0.0703324162367146,-0.018793398255043003,-2.086211408339292,-0.07122711290149919,0.45071526553008034,79
