ma_window,bubble_thr,mom_lb,hold_h,top_n,annual_ret,sharpe,sortino,max_dd,win_rate,n_trades,total_ret
500,-0.8,52,104,5,0.1553365716353472,2.015024022061362,18.636023915356695,-0.029960149735212327,88.88888888888889,18,1.3266042702308503
500,-0.8,40,52,5,0.171909358825431,1.9267668594878427,9.604370165291888,-0.057829424231233606,84.61538461538461,26,1.5286902786761742
500,-0.7,20,65,10,0.14685062221451717,1.8836234634068114,3.6418210660349937,-0.04454213550686836,77.77777777777779,36,1.2284301101651485
2000,-0.6,26,52,10,0.093121281261483,1.8779602119678045,0.0,0.0,100.0,11,0.6831949240802051
2000,-0.6,20,52,5,0.11948143616516194,1.8383225666892988,0.0,0.0,100.0,11,0.9348763890205314
2000,-0.5,6,65,20,0.0712423411643972,1.8299696725467531,8.398495764284988,-0.02277986502647389,81.25,16,0.4954948358964282
500,-0.8,52,104,10,0.13413725197767068,1.794388068260275,8.668391188686936,-0.03143479658663273,83.33333333333334,18,1.0877919260814775
500,-0.8,52,52,10,0.11322588403184852,1.7900827182128274,5.252907157260879,-0.03758016279225873,76.92307692307693,26,0.8724982007857571
500,-0.8,40,130,10,0.139707983596552,1.7431134711265521,20.037617237561285,-0.028312010526657105,80.0,15,1.1484819830315711
500,-0.8,52,52,5,0.1338912913188337,1.7327839897064206,4.7517517511012555,-0.03645454889535904,80.76923076923077,26,1.085145437862713
2000,-0.5,78,104,20,0.10268875259429744,1.7300531679061646,10.194150315531912,-0.01764462685585022,75.0,12,0.7711971851245498
500,-0.8,40,52,10,0.1348440660525998,1.7145297085664009,4.492245262028935,-0.03709929233789444,84.61538461538461,26,1.0954126096008108
500,-0.8,52,130,10,0.14133788022552585,1.7029741206117803,27.84156626950171,-0.01930685033360169,66.66666666666666,15,1.1665127784889049
500,-0.3,10,130,5,0.39221050409750813,1.7017162389438998,6.600271792683913,-0.07083682513237,74.28571428571429,35,5.924578980602259
2000,-0.6,13,52,5,0.09067139515729639,1.6870425131223776,0.0,-0.001043421983718984,90.9090909090909,11,0.6612535423790478
2000,-0.5,6,65,10,0.07056880825409384,1.6738865363162594,21.978485439376257,-0.015730751514434815,75.0,16,0.4900044210271184
2000,-0.6,26,52,5,0.12928631012216174,1.6695696895481822,0.0,0.0,100.0,11,1.0361077876950113
500,-0.7,78,65,10,0.17549454685900923,1.6608649762670449,3.452015312903868,-0.055326821118593106,69.44444444444444,36,1.574267294466769
2000,-0.6,26,52,20,0.068840960164672,1.657733850936772,0.0,0.0,100.0,11,0.4759959520433825
2000,-0.5,78,130,20,0.12242545419659723,1.655109118182306,9.161963088136917,-0.022715130656957627,81.81818181818183,11,0.9648236309149081
500,-0.8,40,104,10,0.12862930467547096,1.6510126236408458,5.519873271351312,-0.03616169320233409,77.77777777777779,18,1.0291900474832558
252,-0.6,6,130,10,0.26639781650809,1.6506643745491838,3.4416771240925037,-0.14087304730962125,66.66666666666666,36,2.979562317337296
500,-0.8,40,130,20,0.10403310400394461,1.6384674606322511,11.046999638866145,-0.029205906972289086,80.0,15,0.7838626567402722
500,-0.8,40,104,5,0.18609645126431973,1.6328462772278016,4.598468356830677,-0.058160843163728826,83.33333333333334,18,1.7130478337603021
500,-0.8,78,52,5,0.16674443660342142,1.6286408957519034,7.8086535314800125,-0.03532132170318447,80.76923076923077,26,1.464208326114775
500,-0.8,78,52,10,0.12259631674576088,1.6204577158751543,5.665409577139311,-0.027579735147771234,76.92307692307693,26,0.9665734140541169
252,-0.6,6,130,5,0.36164390433496285,1.6122437696786724,3.497607488108945,-0.19241507161972138,66.66666666666666,36,5.081493192994864
500,-0.7,78,65,5,0.2348305687515584,1.5935038553354517,5.15712193624195,-0.053023865282535554,72.22222222222221,36,2.43340018725154
2000,-0.6,10,40,5,0.06923323079995503,1.5875600873045468,0.0,-0.011960811749100797,91.66666666666666,12,0.4791666529161447
500,-0.8,20,130,5,0.13970586029427956,1.5848016611679787,4.957634442806967,-0.051922829657793046,73.33333333333333,15,1.148458575317028
2000,-0.5,26,130,10,0.13227396028263683,1.5801206819943299,0.0,-0.025797596037387738,90.9090909090909,11,1.0678124494127497
500,-0.3,20,130,5,0.28585024546080184,1.5667132989829804,7.847832855757996,-0.07155319845676422,77.14285714285715,35,3.350616414577381
500,-0.8,78,52,20,0.09454958028037286,1.566684889472545,7.088133257201997,-0.0331582444012164,84.61538461538461,26,0.6960973652650877
500,-0.3,20,130,10,0.2375273959476445,1.566056065391291,6.763232061132921,-0.08017213984053917,82.85714285714286,35,2.477484157277334
2000,-0.5,10,130,5,0.11993895761147821,1.5654155262302225,0.0,-0.06131796336174011,90.9090909090909,11,0.9395054091188579
252,-0.6,2,130,10,0.26256578885648874,1.5615539068323427,2.9182663580619073,-0.19807926657935793,75.0,36,2.909655426543396
500,-0.7,26,130,20,0.1279616480524759,1.5598739307253349,4.546107472328967,-0.03513112089037895,72.0,25,1.0221801309178704
252,-0.6,20,130,5,0.30698087457240786,1.5526317056844847,5.7573158889661435,-0.09242634182160858,66.66666666666666,36,3.7857300917704357
252,-0.6,10,130,5,0.33052715745278616,1.5523889719591557,4.381203906172735,-0.11853683646464763,69.44444444444444,36,4.312475783396568
500,-0.8,26,52,5,0.10811830165013236,1.545269726827627,3.042420725554836,-0.07071292715092181,76.92307692307693,26,0.8228119716764069
500,-0.7,20,65,20,0.11036878348051715,1.5408303343744847,2.818959160310479,-0.04353713125389291,69.44444444444444,36,0.8445680492592245
500,-0.3,10,130,10,0.2572666296426247,1.535103118006901,4.573123980270622,-0.08413257448572653,68.57142857142857,35,2.814663806935504
500,-0.7,26,130,5,0.169038098584948,1.5288719511454136,4.317744944465234,-0.07087001141345806,76.0,25,1.4926733762463367
500,-0.8,20,130,10,0.10234649507276283,1.5171071169998618,7.391630422726195,-0.028712125331163407,73.33333333333333,15,0.7679846251351725
2000,-0.5,20,104,20,0.11683428579535149,1.5122122265109557,21.581093387733436,-0.013857818976044656,75.0,12,0.908272994785631
500,-0.7,78,52,10,0.15912983449505624,1.509057903476487,5.051619217607884,-0.07192476608088061,76.19047619047619,42,1.371633567530155
500,-0.8,40,65,10,0.1404376059254171,1.5082345944249802,4.580200765244723,-0.0463844889998436,73.91304347826086,23,1.1565380161572607
2000,-0.6,20,52,10,0.08941231403809335,1.501305457746694,0.0,-0.004461829852312915,90.9090909090909,11,0.6500696871091336
500,-0.8,20,52,5,0.10763619177259032,1.5001738179205921,3.3257306306706744,-0.06027102211358293,88.46153846153845,26,0.8181790517381926
2000,-0.6,10,20,10,0.07910547311414584,1.4996053328923225,3.169119596519858,-0.041351737295254765,80.0,20,0.5608432436048321
