Bubble_Threshold,Momentum_Lookback,Hold_Period,Top_N,Total_Return,Annual_Return,Sharpe_Ratio,Max_Drawdown,Win_Rate,Data_Points
-0.7,10,8,5,-0.34754864736923397,-0.05596825689238438,-2.051220156502834,-0.35119726718440714,2.6605207827915254,12366
-0.7,20,8,5,-0.4060524526351418,-0.06785480781399877,-2.507435832513974,-0.41009881271993665,2.573648429912593,12356
-0.7,30,8,5,-0.4093267229724542,-0.0685495593336033,-2.5424852686587416,-0.41716271223573775,2.6486311355904744,12346
-0.7,10,16,5,-0.34376944874825444,-0.05523256807525401,-2.760175740466616,-0.3468563711122278,2.4437611263958567,12358
-0.7,20,16,5,-0.3740857497147281,-0.061240596702641814,-2.87542148107068,-0.3989708040290335,2.3728539034661487,12348
-0.7,30,16,5,-0.3556428546236946,-0.05755642584519316,-2.9518345512564728,-0.3852776290605444,2.5287728967417733,12338
-0.6,10,8,5,-0.5685600017708586,-0.10719062128174706,-3.004670366537162,-0.5759965136096188,4.326378780527252,12366
-0.7,30,24,5,-0.34561537482140203,-0.05559145147736366,-3.0545871683396015,-0.3918257279374887,2.238442822384428,12330
-0.7,20,24,5,-0.3574592387135066,-0.05791518924064887,-3.087499665236445,-0.3887209176231835,2.196110210696921,12340
-0.6,30,8,5,-0.582613486214719,-0.1111695441924252,-3.1228645790870178,-0.6041577577130328,4.4305848047950755,12346
-0.7,10,8,10,-0.41436538506987675,-0.06962522499363633,-3.1261225973428104,-0.4163797522502499,2.4583535500566067,12366
-0.7,20,8,10,-0.42228110566911004,-0.07133137191455863,-3.264186508434115,-0.4258822888537288,2.4603431531239885,12356
-0.6,20,8,5,-0.5998983623619575,-0.11622548390657872,-3.3189001321570055,-0.6053854719977694,4.273227581741664,12356
-0.7,30,8,10,-0.4239159985025771,-0.07168627297137431,-3.3797341050942564,-0.4313091517157074,2.4137372428316866,12346
-0.7,10,24,5,-0.35236197917032974,-0.056910614805201765,-3.413074178661476,-0.3597588811091902,2.1538461538461537,12350
-0.7,20,16,10,-0.3963369899753648,-0.06581265697671257,-3.8675804379460264,-0.4182753502776895,2.0975056689342404,12348
-0.6,30,16,5,-0.5472016954369805,-0.10135310358041438,-3.893343005505731,-0.5830396965364505,3.9552601718268763,12338
