ticker,shortPercentOfFloat,shortRatio,sharesShort
CHTR,0.4483,5.6,21641892
SATS,0.36099997,8.06,40624560
CPB,0.3261,7.24,50370254
KLAC,0.2889,3.26,3380525
SWKS,0.2575,5.49,24445652
IT,0.2425,7.52,11737923
TTD,0.21059999,4.01,76553022
MGM,0.2049,5.38,25433412
TAP,0.1967,6.3,21485456
FDS,0.18110001,6.79,5759069
SMCI,0.18049999,2.2,81224279
MRNA,0.17899999,7.25,58071415
NWS,0.1767,8.15,10078592
NCLH,0.17559999,2.99,71146720
DVA,0.173,6.07,5680405
FOXA,0.16530001,9.48,27906985
HPQ,0.1526,7.53,119670690
WDAY,0.1519,5.75,26899619
PSKY,0.1508,8.16,81097849
IP,0.1499,5.72,43380955
ARES,0.14850001,4.89,15637915
AKAM,0.1468,3.12,18188583
KMB,0.1455,9.44,42304679
TKO,0.1435,6.86,9783883
NTAP,0.1402,11.04,23938366
CVNA,0.1374,5.82,73007090
LYV,0.1372,7.22,21544706
TROW,0.1358,11.85,25089339
ARM,0.1329,1.74,18788059
LITE,0.1302,1.53,9154609
RVTY,0.1279,6.65,9521763
BF-B,0.1254,4.55,35315913
ON,0.1241,2.56,35104463
BAX,0.1233,5.15,40350973
POOL,0.1216,3.87,3736905
CAG,0.12100001,3.23,44766141
MSTR,0.1196,2.12,39548870
DPZ,0.1176,3.24,3442006
COIN,0.1166,2.4,25604551
OMC,0.1155,7.26,32653481
GIS,0.1126,5.23,46148017
WYNN,0.1079,6.3,9547121
RMD,0.1078,9.7,13573617
TECH,0.106000006,4.89,14553011
ZS,0.1058,4.01,11135283
FSLR,0.105299994,3.34,8655644
RL,0.1022,5.98,3224019
BBY,0.1017,5.9,18997789
ZBRA,0.1013,4.34,4117597
CTSH,0.100200005,6.74,47358090
LNT,0.0986,9.16,22238240
KHC,0.098500006,6.0,84559027
ERIE,0.0983,10.33,2461393
WDC,0.097399995,3.82,29765534
BLDR,0.0964,3.14,8682445
SNDK,0.0963,0.58,9135603
APA,0.0956,3.72,25714890
INCY,0.0952,7.59,11040495
LVS,0.0949,2.65,13479973
BXP,0.0926,6.1,11092109
FICO,0.0921,4.62,1798092
JKHY,0.0921,5.15,5710208
INSM,0.0916,5.16,17606497
TPR,0.09060001,6.54,15659541
HSIC,0.090500005,5.2,8550913
CLX,0.08939999,2.63,9382870
TPL,0.0887,11.33,4196787
CRM,0.0885,5.01,62680190
CRL,0.087,4.28,3632420
PNW,0.0849,6.53,7920920
HRL,0.0848,5.3,24756714
RF,0.0847,5.29,54678088
LII,0.0842,4.62,2320579
DLTR,0.0841,3.48,13100725
HSY,0.0828,5.17,10480814
MOS,0.081499994,2.2,19529219
SYF,0.08140001,5.15,20812288
FOX,0.08,11.65,10827183
CDW,0.0795,3.99,8796709
AOS,0.0788,4.13,7652807
ALGN,0.0784,4.9,4918978
UDR,0.077199996,4.78,18368593
CPT,0.077,5.16,6163918
GDDY,0.076799996,3.54,7557861
EXPE,0.0744,4.07,6922805
CHRW,0.0739,3.43,7640908
AWK,0.0732,5.89,11080991
HST,0.0732,4.69,35731893
AMCR,0.0728,7.16,31279575
CNP,0.072,7.05,36732193
SNA,0.071100004,7.53,3140419
DELL,0.0708,3.33,21403630
UHS,0.070700005,3.24,3035724
CF,0.0705,2.81,9084942
VEEV,0.0694,2.56,10360377
MAS,0.0692,3.35,12062671
ODFL,0.0681,5.58,11413360
RCL,0.0674,4.52,12391503
EVRG,0.065799996,6.51,12856425
TYL,0.0655,3.55,2317838
VRSK,0.0651,3.73,7388285
DHI,0.0651,5.77,14090926
DRI,0.0641,5.29,5484623
PAYX,0.064,6.33,20483868
GPN,0.0639,4.62,14641569
LUV,0.0637,3.29,23540203
J,0.0635,4.76,6571585
MCHP,0.0629,2.54,29256024
BRO,0.062800005,4.67,16150751
ZBH,0.0622,3.46,9163593
DOC,0.0612,3.48,32476777
JBHT,0.060500003,3.6,3856728
NVR,0.059699997,4.7,106669
PPL,0.059499998,4.47,39077753
XEL,0.059299998,6.27,32713898
GEN,0.0589,3.62,27709985
SW,0.0586,5.05,26982156
IVZ,0.0585,3.1,18001854
HUBB,0.0585,4.17,2682634
PHM,0.0584,4.27,8357759
HPE,0.0583,4.37,67749384
GPC,0.0582,4.26,6986311
LULU,0.0581,1.91,6342715
ARE,0.0579,3.0,7287594
APO,0.057800002,7.51,30573226
PTC,0.0577,2.95,4130267
IFF,0.0574,6.04,10678991
EFX,0.0571,3.25,5875091
NKE,0.056999996,2.64,53918467
FTV,0.056900002,3.93,12607487
HUM,0.056700002,2.99,5989905
HAS,0.056700002,3.9,7060654
WSM,0.056399997,6.26,6569132
NOW,0.0563,2.11,57943059
APTV,0.0555,2.49,8625389
SJM,0.0548,2.61,5007180
SWK,0.0548,3.03,7463593
TSCO,0.0547,1.88,25124899
FANG,0.0545,3.97,10656331
RJF,0.0545,6.73,9350935
PYPL,0.0545,2.87,43143105
DDOG,0.0544,2.42,15608515
AMP,0.0544,5.79,3676258
FITB,0.0542,7.1,40575034
UNP,0.0542,9.41,28916554
MPWR,0.0541,3.12,1975414
ALNY,0.0539,4.81,5398804
QCOM,0.053600002,1.88,50442626
SOLV,0.053600002,5.43,7893674
VTR,0.052600004,4.36,22113017
ULTA,0.052600004,3.41,2288778
AEP,0.052600004,7.53,28620961
ETR,0.052600004,5.35,21302836
PKG,0.0525,4.74,4024887
DXCM,0.052399997,3.16,17564139
ADBE,0.052399997,3.74,18979957
WEC,0.052199997,8.09,14806920
COHR,0.051999997,1.33,8674309
FE,0.0519,3.66,22553273
HAL,0.0519,2.67,31972263
PSA,0.0513,6.92,6788848
BEN,0.051,3.73,20321651
SBUX,0.0506,6.79,51873965
CIEN,0.0505,2.2,4529072
CHD,0.0505,5.02,10418810
CCEP,0.050300002,4.59,7336318
KIM,0.050300002,6.28,27949296
PNR,0.0502,3.35,7072681
KDP,0.0495,5.23,60352552
AXON,0.0494,2.92,3353177
DECK,0.0493,2.79,4808973
PODD,0.049099997,1.93,3014097
HOOD,0.0482,1.17,37744984
PFG,0.0479,6.73,8936367
STX,0.0476,2.04,9303817
OKE,0.047399998,6.38,26542017
SLB,0.047,4.61,61430992
EXPD,0.0469,4.82,5323197
INTU,0.0462,4.18,11027589
ROP,0.0461,3.37,4060071
VST,0.0461,2.83,13438308
CSGP,0.046,2.3,18639692
ADP,0.046,5.36,16460942
CPRT,0.045900002,4.51,34149633
IR,0.0458,3.94,15792444
XYZ,0.0456,3.84,21000421
GNRC,0.045300003,3.1,2630818
TER,0.0452,1.57,6127447
STZ,0.0452,4.24,7470493
ESS,0.045,3.91,1819537
EIX,0.044899996,5.06,13200672
EA,0.0444,5.68,9821609
ACN,0.043899998,4.27,24148949
XYL,0.0435,3.28,8036873
UAL,0.0434,2.08,13989543
MTB,0.0432,5.47,5468389
MRVL,0.0431,1.24,32247247
CCL,0.0427,1.7,48779462
TSN,0.042600002,4.07,11760759
DG,0.0422,2.58,8233002
CPAY,0.0421,4.96,2645011
ALLE,0.0419,3.08,3592535
KR,0.0419,5.48,25716356
O,0.0419,6.12,34221745
LH,0.041199997,4.61,3369697
APP,0.040999997,2.56,11967523
EXC,0.040799998,4.18,36683922
WY,0.040799998,4.58,24640192
BG,0.0405,3.47,5426596
LDOS,0.0404,3.58,4436868
AEE,0.0403,5.68,9815895
WAT,0.0401,3.42,3938447
PRU,0.0401,5.1,12236880
LYB,0.04,1.64,10307660
NWSA,0.0399,3.38,14515723
CTAS,0.0399,6.16,11953504
TTWO,0.0397,4.03,6578830
FIS,0.0394,2.86,17629512
AVB,0.0394,3.9,3925744
INVH,0.039100002,3.12,17000070
DAL,0.039100002,3.26,25594089
OTIS,0.039,3.18,13041778
EQT,0.038900003,2.78,21294743
PPG,0.038599998,3.79,7489657
MTD,0.038399998,3.78,676262
TMUS,0.038399998,3.02,18711046
