UnivSize,MA_h,Threshold,Hold_h,TopN,Sharpe,Sortino,Ann_Ret,MaxDD,Total_Ret,Win_Rate,Active_Days
60,156,-0.4,52,5,7.134634656030083,22.211678678399473,33401506.75377628,-0.9206326277219792,6.05276085490734e+55,0.6814159292035398,1469
60,156,-0.4,52,10,7.132181040647401,22.14163002297166,33033720.604216572,-0.9256112783165876,5.57573749043247e+55,0.6793737236215113,1469
60,156,-0.4,52,3,7.033927422672226,21.787966110010522,27981948.17475508,-0.9145141637515675,1.6289111605140517e+55,0.6827773995915589,1469
60,208,-0.4,52,3,6.795794293070961,23.621799727112922,70102279.08059217,-0.9592936630581617,1.4758497607247024e+58,0.672566371681416,1469
60,208,-0.4,52,10,6.792117466430414,24.13142115080386,97164183.79053697,-0.9568796338008362,1.6602338119289468e+59,0.6705241660993874,1469
60,208,-0.4,52,5,6.779349718636894,24.021431259941657,91630081.03245422,-0.956126867830779,1.0748452700104096e+59,0.6718856364874064,1469
40,156,-0.4,52,5,6.412781826980949,23.927271632057945,112984671.44792342,-0.9406304126865639,5.0803256645181995e+59,0.6623553437712729,1469
40,156,-0.4,52,10,6.404275713719411,23.858682828614562,110091244.19151407,-0.9412243057469771,4.191396673333978e+59,0.6616746085772635,1469
40,156,-0.4,52,3,6.34827234221863,23.422311461994866,89449815.69709423,-0.9373614318729786,8.990931576800362e+58,0.6609938733832539,1469
80,52,-0.4,52,3,6.280864010899948,21.16532527777705,13612233.499506367,-0.9502732683035755,7.792299569017892e+52,0.6952380952380952,1470
40,208,-0.4,52,5,6.006695061998261,25.630895678923714,567685645.5556698,-0.9682847680689591,8.013659457666756e+64,0.6569094622191968,1469
40,208,-0.4,52,10,6.004375053023409,25.617669022989254,564047599.541872,-0.9682847680689591,7.640636664111332e+64,0.6569094622191968,1469
40,208,-0.4,52,3,5.9853740416141274,25.615296380735018,550533681.3216124,-0.9676514046113266,6.383300298932834e+64,0.6569094622191968,1469
60,52,-0.4,52,5,5.973219774929338,24.139287068394527,107004232.66196345,-0.9571353110142685,3.394541446832724e+59,0.672108843537415,1470
60,52,-0.4,52,10,5.943284227611013,23.13712336085349,90014244.64847948,-0.9563155021403912,9.420164065381875e+58,0.6707482993197279,1470
20,156,-0.6,52,5,5.9237321031883186,18.564674353634395,2892451.6836256785,-0.9506615968727805,8.025530694588933e+47,0.6352201257861635,1431
60,52,-0.4,52,3,5.921569105396437,23.346649835507066,67101725.34056277,-0.9564435283399012,1.0670523860399835e+58,0.6775510204081633,1470
20,156,-0.6,52,10,5.918591973216614,18.44675726765556,2863520.083881607,-0.9506615968727805,7.449115420219723e+47,0.6359189378057303,1431
20,156,-0.6,52,3,5.911755266554579,18.51431025664946,2782448.11457619,-0.9506615968727805,6.0204297071107545e+47,0.63382250174703,1431
60,104,-0.8,52,5,5.8844142244346935,19.593848664573674,8675867.998894062,-0.9892472348148623,2.762777006598362e+51,0.6386785960082588,1453
60,104,-0.8,52,3,5.876821982938342,19.636514913550567,8557311.134815505,-0.9887592895491554,2.4948362544437065e+51,0.6422651933701657,1448
60,104,-0.8,52,10,5.7250579664850525,19.654610122073446,9093766.475026473,-0.9881878428237905,3.9158159100929065e+51,0.6400550584996559,1453
60,156,-0.8,52,10,5.7222638585810515,22.3692028853039,11722256.359908953,-0.9629003338672519,2.572502702183422e+52,0.6350974930362117,1436
60,156,-0.8,52,3,5.6923403926076075,22.139731108986464,10884875.553528642,-0.9684785957510404,1.4849529355045695e+52,0.6304801670146137,1437
60,156,-0.8,52,5,5.687700587107058,22.159048784615532,9808370.288075607,-0.9622795730692276,6.861168390469147e+51,0.6337047353760445,1436
80,52,-0.4,26,3,5.664092244576473,12.5615806086232,2168.3915044910677,-0.7738920237718283,5.444310127461042e+24,0.6530612244897959,1470
80,52,-0.4,26,10,5.65375313915503,12.00859213852634,2089.6778435798396,-0.7541284973954545,4.1394294478176496e+24,0.654421768707483,1470
80,52,-0.4,26,5,5.641714745650312,12.20573332687269,2052.5002612536655,-0.7699203038708529,3.62382478907642e+24,0.654421768707483,1470
80,52,-0.6,52,3,5.546320668322159,21.92536019567668,9053953.914712641,-0.9480486996285352,3.790483129617479e+51,0.6850340136054421,1470
80,104,-0.4,26,10,5.477754241968325,11.732499347214354,2349.259329688414,-0.8021803674611058,9.858011340822279e+24,0.6530612244897959,1470
60,52,-0.2,26,10,5.469279527327118,12.040137417907719,3791.504640851844,-0.8304157830068903,3.423859288372107e+26,0.6530612244897959,1470
60,52,-0.2,52,3,5.4665561086167385,23.399105367640484,44340304.24159868,-0.9498338001659871,4.944581719168446e+56,0.6639455782312925,1470
60,52,-0.2,52,10,5.44389777977767,21.469813872448697,35618894.867126524,-0.9776455406861425,9.74795529054174e+55,0.6707482993197279,1470
60,208,-0.6,52,10,5.443757837774465,27.024935718564187,197399113.75554344,-0.9624489372176882,3.1806675998427145e+61,0.6709809264305178,1468
60,52,-0.2,26,3,5.441732252036488,12.479913453479046,3578.608785805602,-0.8449007310780169,2.2309612231537402e+26,0.645578231292517,1470
60,52,-0.2,52,5,5.43695516427971,21.876334054488787,36925650.95993085,-0.9761120494651241,1.2732898636838487e+56,0.6666666666666666,1470
80,104,-0.4,26,3,5.436291286306859,11.942112809115446,1999.3102400924188,-0.7774539707513121,2.9830854760503593e+24,0.6353741496598639,1470
80,104,-0.4,26,5,5.431245980472294,11.781638493687451,2168.7223955665013,-0.8072915571346428,5.450469845847436e+24,0.6482993197278911,1470
