UnivSize,MA_h,Threshold,Hold_h,TopN,Sharpe,Sortino,Ann_Ret,MaxDD,Total_Ret,Win_Rate,Trades
80,104,-0.2,52,5,1.7608752357058588,2.8709117237377266,4.201903345760621,-0.9996902754608519,204031.19418048108,0.5164950253098272,5729
80,104,-0.2,52,10,1.7481701757389292,2.859707956741589,4.086683892309481,-0.9996498107808279,172812.56470854738,0.5149041873669269,5636
80,104,-0.2,52,3,1.7297455348082449,2.8002329089212035,3.8876537422001887,-0.9998889101405841,128545.26475533575,0.517115320704553,6018
80,52,-0.4,52,3,1.6228809523017387,2.5217163409452503,2.9438234368478473,-0.9998569655414589,26192.384954528854,0.5137241613012539,5902
80,104,-0.4,52,10,1.6011631869060325,2.577965420246952,2.8003932813536636,-0.9987863067568925,19901.45959358281,0.5132924335378323,4890
80,52,-0.4,52,5,1.5920545823076604,2.607573932424325,2.97861951704609,-0.9997967565140526,27955.06299835342,0.5130357142857143,5600
80,104,-0.4,52,5,1.5795137640362777,2.5390365609357306,2.670491410149645,-0.9990100798677952,15377.774961642053,0.5136876006441223,4968
60,52,-0.4,52,5,1.5207980448059688,2.495197096255457,2.432905859293316,-0.9997434154738831,9362.771580970175,0.5123056994818653,4632
60,52,-0.4,52,3,1.5097044913046507,2.4602277479400496,2.3305244163777235,-0.9997800559461104,7480.019623510161,0.510453322293521,4831
80,52,-0.4,52,10,1.508261481866173,2.4689676924704997,2.4204090524635555,-0.999814350542621,9112.978777347967,0.5142597638510445,5505
80,104,-0.4,52,3,1.5059015906873958,2.4843925177943946,2.286085004558899,-0.9993292373089041,6770.863698056355,0.5103369065849923,5224
60,104,-0.2,52,10,1.5031725036439127,2.3826380199554267,2.207072254264681,-0.9997890932616283,5652.804775269278,0.5104233827638083,4653
60,104,-0.2,52,5,1.4803638913505968,2.3396423834340756,2.0767399800579422,-0.999784293962532,4155.750227025146,0.509641873278237,4719
80,208,-0.2,52,5,1.4790056770431173,2.3971136166777374,2.15816234844686,-0.9995883852144467,5043.9507776467335,0.5150501672240803,5382
80,52,-0.6,52,3,1.4717053458731741,2.360521620644592,2.113870475239937,-0.9998408932580509,4542.384865653701,0.5202583675866118,5109
80,156,-0.2,52,3,1.4425593517955222,2.329021146561716,1.8910724911135963,-0.9999219383786633,2619.217616188494,0.5161122661122661,5772
60,52,-0.4,52,10,1.4388459200490327,2.3600866709129598,1.9780207769164773,-0.9997974629915019,3262.980094757453,0.5090552040148374,4583
60,104,-0.2,52,3,1.4162405564745297,2.2215499803957535,1.7234479098005218,-0.9999216801207935,1681.737178997743,0.5072582294009405,4891
80,208,-0.2,52,10,1.4010840059609855,2.2498254940808473,1.7566272934206397,-0.9998412968190236,1839.8011783999457,0.5140765765765766,5328
80,208,-0.2,52,3,1.3714298204238538,2.183899901452739,1.5888446249088855,-0.9998602946690239,1154.6040713400512,0.5130806193272824,5619
40,104,-0.2,52,5,1.3485690304061242,2.212633582750585,1.578063915137129,-0.999518781782878,1119.3983118669746,0.5112327188940092,3472
40,104,-0.2,52,10,1.3090306875477271,2.139269481776964,1.4200622306583135,-0.9996248942620946,700.0165608053693,0.5118634259259259,3456
80,156,-0.4,52,3,1.291669025925899,2.068578810655865,1.3300286368343053,-0.9995453643317854,528.2405143760071,0.5152501016673444,4918
40,104,-0.2,52,3,1.2878793578699193,2.0588689831106,1.294499904103939,-0.9996926234262252,471.2556923858637,0.5113223371540397,3577
80,52,-0.2,52,3,1.2855234624515766,2.0742235351230365,1.14954624465727,-0.9999593749624451,290.10678904616583,0.5125448028673835,6417
60,52,-0.6,52,3,1.269866436921636,2.0290435558932964,1.271482568189787,-0.9997952009441702,437.24155882328154,0.5184108527131783,4128
80,52,-0.2,52,5,1.2686976948313855,2.0473549413731185,1.134605400119443,-0.999942258337527,275.43537838712206,0.5128373930217248,6076
80,156,-0.4,52,5,1.257692384313003,2.027774148794869,1.2401426297436169,-0.9991062761657533,394.3473447286532,0.5152996175095622,4706
80,156,-0.2,52,5,1.2556109476494877,1.9931503170412224,1.1090252895601158,-0.9999417261922658,251.79865449567188,0.516362321460857,5531
80,156,-0.2,52,10,1.2549010602776907,2.0056443552809364,1.1154858478692709,-0.9999554889879282,257.5968203701178,0.5163530056641695,5473
80,52,-0.2,52,10,1.2531044538358849,2.0136011237788285,1.0942120976136667,-0.9999482552407748,238.92708818554797,0.5118666891095776,5941
80,52,-0.6,52,5,1.2465007918744564,1.9459254116268718,1.178740542868033,-0.9996928009623585,320.7284640715105,0.5184490306441526,4797
80,52,-0.6,52,10,1.2428734050576626,1.94871470586759,1.1818175545198528,-0.9993430993356155,324.1125325794781,0.5207264957264958,4680
80,156,-0.4,52,10,1.2229796977351486,1.9617524983961832,1.1105738722736689,-0.9992960117018852,253.17811303126825,0.5137931034482759,4640
60,52,-0.2,52,10,1.2200271976953305,1.88803967933544,0.9562442104443316,-0.9997886338606853,143.75706207412824,0.5088924818108327,4948
40,208,-0.2,52,3,1.2037082795473166,2.057354061343231,1.143808608989847,-0.9986915375582915,284.39488064529854,0.5157992565055762,3228
80,104,-0.2,26,3,1.1952277175667865,1.8842494850876486,1.136203387635685,-0.9987366417786024,276.97335829420723,0.5133380547686497,8472
80,104,-0.4,26,5,1.193562153539831,1.7461070487527024,1.0753245120451367,-0.9975592541034078,223.34035709469018,0.5078970459198596,6838
60,52,-0.2,52,3,1.1921381517330074,1.8767066419522553,0.8255178813683246,-0.9998526887485918,85.68473019185166,0.5077571346485348,5221
40,52,-0.4,52,5,1.1845297478752734,1.9314890216994263,0.9929856347492703,-0.9993568437933521,165.17046460163795,0.5142369020501139,3512
40,52,-0.4,52,3,1.1801882489676672,1.9047791509342542,0.9595095731172953,-0.9995101002286165,145.55813872814494,0.5159677867259095,3601
