ticker,settlementDate,sharesShort,daysToCover,shortVolRatio,shortVol,totalVol,marketCap,dtc_pct,svr_pct,combo
INTC,2026-05-15,141034491,1.0,0.0,,,498428420000.0,0.02981651376146789,0.26146788990825687,0.8543577981651376
MU,2026-05-15,35235443,1.0,0.0,,,974373497405.0,0.02981651376146789,0.26146788990825687,0.8543577981651376
SNDK,2026-05-15,9135603,1.0,0.0,,,230919321445.0,0.02981651376146789,0.26146788990825687,0.8543577981651376
MELI,2026-05-15,1037777,1.1137,0.0,,,81510929220.0,0.05963302752293578,0.26146788990825687,0.8394495412844036
SHOP,2026-05-15,21812029,1.180789,0.0,,,141943139679.0,0.06422018348623854,0.26146788990825687,0.8371559633027523
LITE,2026-05-15,9154609,1.343798,0.0,,,67192748000.0,0.06880733944954129,0.26146788990825687,0.8348623853211009
MRVL,2026-05-15,32247247,1.436845,0.0,,,230483556000.0,0.0779816513761468,0.26146788990825687,0.8302752293577982
PLTR,2026-05-15,70816470,1.440881,0.0,,,324907692243.0,0.08256880733944955,0.26146788990825687,0.8279816513761468
QCOM,2026-05-15,50442626,1.579531,0.0,,,227600760000.0,0.0963302752293578,0.26146788990825687,0.8211009174311927
PODD,2026-05-15,3014097,1.59725,0.0,,,10612733350.0,0.10091743119266056,0.26146788990825687,0.8188073394495413
HOOD,2026-05-15,37744984,1.673428,0.0,,,74264652051.0,0.10550458715596331,0.26146788990825687,0.8165137614678899
SMCI,2026-05-15,81224279,1.778179,0.0,,,25043065590.0,0.11926605504587157,0.26146788990825687,0.8096330275229358
EBAY,2026-05-15,14423044,1.793164,0.0,,,48661972642.0,0.12385321100917432,0.26146788990825687,0.8073394495412844
CSGP,2026-05-15,18639692,1.890435,0.0,,,13839175181.0,0.12844036697247707,0.26146788990825687,0.805045871559633
FISV,2026-05-15,14208673,1.911145,0.0,,,29025014458.0,0.13302752293577982,0.26146788990825687,0.8027522935779816
DDOG,2026-05-15,15608515,1.912545,0.0,,,83333839847.0,0.13761467889908258,0.26146788990825687,0.8004587155963303
LULU,2026-05-15,6342715,1.917189,0.0,,,12487507542.0,0.14220183486238533,0.26146788990825687,0.7981651376146789
