Year,Return,Sharpe,Max_Drawdown,Sortino,Days
1997,0.04873699171835266,1.866061403992936,-0.19932517142151096,53.3351145920547,112
1998,2.196899936447051,84.37369201508842,-0.3317181502201345,1683.347572909908,252
1999,2.924185001147159,83.04894968518983,-0.32111338215574015,2031.7132604273938,252
2000,0.5949724412233035,12.626576507750622,-0.652802113475973,284.8580696428611,252
2001,0.23752420352294412,9.780956286867719,-0.37971867219628674,196.05371040877122,248
2002,-0.12030198339924592,-5.337180709386332,-0.37593145520653004,-142.84933845360416,252
2003,0.9588077037829628,46.95317957414058,-0.14091572532153496,1213.3580563501275,252
2004,2.0133307671591107,90.57045558222799,-0.20616355207373882,2476.3552229203237,252
2005,0.45681680893095167,27.663447584722427,-0.22505511835102843,666.215764000528,252
2006,-0.04237359700108334,-2.291700169392956,-0.370215197209962,-51.579624155979324,251
2007,1.4829943485968071,66.41274184911926,-0.16204969613004916,1706.1242055478785,251
2008,-0.2572288422054051,-8.651054472218016,-0.475590973490156,-213.60538255277496,253
2009,0.016366214998912776,0.6816185086628953,-0.3782997073636768,15.414351781784745,252
2010,0.6942345309064297,30.34013732432357,-0.2693164374024375,691.3119161216662,252
2011,-0.19128729907702147,-6.667505155124989,-0.4994192813206939,-141.8107876226274,252
2012,0.505797217483023,26.436109752406765,-0.23180947481648262,564.134018356834,250
2013,1.492290973952946,72.68771557977654,-0.11769617131773713,2175.047638762537,252
2014,0.2618193108309874,13.753810506252597,-0.24838977876845159,285.5403922211595,252
2015,0.5362224438802661,18.47569062764944,-0.3080329989902624,450.602262137498,252
2016,-0.007522525832528992,-0.4015007858058965,-0.3276199830167633,-9.388700448120087,252
2017,0.2803258342896726,15.608990080288903,-0.137002455531123,354.91778765169363,251
2018,0.7492212563414984,28.214377941243043,-0.29935278146963096,580.4577734427187,251
2019,0.3123523301241826,15.051177398800355,-0.1690652250720559,364.9948132383857,252
2020,5.1834037858728905,124.87472767824558,-0.27863856384061736,4474.152367878087,253
2021,-0.1800639231879536,-7.156933174780538,-0.47693045909480625,-195.39795623270822,252
2022,0.24398796063445505,10.12574644728764,-0.19549478360174133,294.9368023465485,251
2023,0.5650266959092021,24.30743229904053,-0.29821495931268227,724.779050264971,250
2024,0.7406222136204714,24.170617694339143,-0.20222260851950113,656.4003914718495,252
2025,1.7602813525586876,45.48122094799733,-0.38389325429000076,1008.2663491068133,250
2026,2.1224235560654967,59.89636720944619,-0.09992648281252159,2191.189664275956,108
