Lookback,Z_Thresh,Hold,TopN,Direction,Ann_Ret,Sharpe,Sortino,MaxDD,Trades,Total_Ret
156,2.0,13,5,LONG,0.26414836057642277,0.809387821944992,1.3323545697536392,-0.3375812540309825,735,2.938401502673683
52,1.5,13,5,LONG,0.2446317815539265,0.7858745804742954,1.2653376435100931,-0.4871876918744549,745,2.5958683876862683
52,1.5,26,10,LONG,0.20697413381533591,0.7682263164673283,1.0862549295677633,-0.4716215728668087,373,2.004510415113599
104,3.0,8,20,LONG,0.29915943084363517,0.7584560285143567,1.1895016021136013,-0.6776721842788428,1177,3.620655718208826
156,2.5,26,10,LONG,0.2533082339100514,0.75803911256298,1.2811086308795059,-0.38195334285888427,369,2.7449617818493453
104,3.0,8,10,LONG,0.298302626027394,0.756999823992265,1.1873516061595946,-0.6789133620823617,1177,3.602863101390099
52,3.0,26,20,LONG,0.2948644543460077,0.7490011196087129,1.1898079928768832,-0.5225614113391139,371,3.5320353655369354
52,3.0,26,10,LONG,0.2948644543460077,0.7490011196087129,1.1898079928768832,-0.5225614113391139,371,3.5320353655369354
156,2.5,26,20,LONG,0.24899016234166838,0.7476193355983555,1.258854978340607,-0.39393624337236866,369,2.670133770662818
104,3.0,8,5,LONG,0.28986554431153033,0.7416260709037176,1.1648488402110675,-0.683859675448638,1177,3.430669373665957
52,3.0,26,5,LONG,0.2863506915788643,0.7334289997675604,1.1681541549640593,-0.5450808484477943,371,3.360527893980839
104,3.0,26,10,LONG,0.27690906140069016,0.7180831210270622,1.097816485083188,-0.741997321321556,369,3.176656217404097
104,3.0,26,20,LONG,0.27690906140069016,0.7180831210270622,1.097816485083188,-0.741997321321556,369,3.176656217404097
156,2.0,26,5,LONG,0.2360382076131482,0.7146296047237544,1.2077799221022936,-0.46843536914358885,369,2.4530833456628067
52,4.0,6,10,LONG,0.30512477382126635,0.7120553979589321,1.14142455719161,-0.6791772437760327,1367,3.7461208392263954
52,4.0,6,20,LONG,0.30512477382126635,0.7120553979589321,1.14142455719161,-0.6791772437760327,1367,3.7461208392263954
26,1.5,13,5,LONG,0.2163557368858149,0.7116822210909882,1.1235706981289544,-0.5620794256804775,747,2.143682129938171
52,4.0,6,5,LONG,0.3027098915943818,0.7087900712842193,1.1367662415987134,-0.6791772437760328,1367,3.6949943349356342
