Lookback,Z_Thresh,Hold,TopN,Direction,Ann_Ret,Sharpe,Sortino,MaxDD,Trades,Total_Ret
120,2.5,10,5,LONG,0.254707932472229,0.6957810705057631,1.2065667056759681,-0.7030524,728,791.8983
120,2.5,10,10,LONG,0.23521804809570312,0.6774557474799207,1.1317829381836146,-0.60756004,728,499.24725
120,1.0,10,20,LONG,0.16185235977172852,0.6752268496549307,0.8449668832863862,-0.58428776,729,81.56628
120,2.5,10,20,LONG,0.2223581075668335,0.6511138646643801,1.0845489744537455,-0.6273031,728,366.67227
20,1.5,10,20,LONG,0.15722358226776123,0.6378143294085101,0.8265632161223272,-0.5491346,739,72.416954
20,1.0,10,20,LONG,0.15599095821380615,0.6349995772323451,0.8194449326606352,-0.55926925,739,70.15063
120,1.5,10,20,LONG,0.1542288064956665,0.6324952724080801,0.8186770839564531,-0.5338492,729,67.02793
60,1.5,10,20,LONG,0.1518397331237793,0.6205023831542542,0.7890049047174237,-0.55806065,735,63.004776
60,1.0,10,20,LONG,0.14934265613555908,0.6181647764353151,0.7754990553071048,-0.60104513,735,59.045708
20,2.5,10,20,LONG,0.2020033597946167,0.6072952184678899,1.0825661111696254,-0.6581266,738,223.33679
20,2.5,10,10,LONG,0.20052850246429443,0.60183240670137,1.0632188876069475,-0.6632825,738,215.37779
20,2.5,10,5,LONG,0.20516586303710938,0.5897972795496684,0.9995916742674585,-0.78339916,738,241.36763
40,1.5,10,20,LONG,0.14306163787841797,0.5895081553898187,0.7508570855117512,-0.52923244,737,50.105038
40,1.0,10,20,LONG,0.14135587215423584,0.5870741447333233,0.7432575517494975,-0.5954014,737,47.908215
60,1.5,10,10,LONG,0.15048575401306152,0.5690725775213146,0.7501974007822312,-0.59116894,735,60.827774
10,1.5,10,10,LONG,0.14728057384490967,0.5614427482050152,0.7869321256607377,-0.592508,740,55.95567
10,1.0,10,10,LONG,0.14678168296813965,0.5599102153346507,0.7846977081305757,-0.59519637,740,55.231556
10,1.0,10,20,LONG,0.1316227912902832,0.5595047185113904,0.717473793105858,-0.51885253,740,37.01496
40,2.5,10,20,LONG,0.175925612449646,0.5576276456103931,0.9933726209222244,-0.7584201,736,116.66331
60,1.0,10,10,LONG,0.14636468887329102,0.5567788411724683,0.7333344722522583,-0.60626674,735,54.63308
10,1.5,10,20,LONG,0.131211519241333,0.5553327944128825,0.7137956245383639,-0.521312,740,36.610603
120,1.0,10,10,LONG,0.144048810005188,0.5542573233087438,0.7474304675448411,-0.6138912,729,51.419575
120,1.5,10,10,LONG,0.14364540576934814,0.5522508616370098,0.7435634457598767,-0.5877073,729,50.87846
40,2.5,10,10,LONG,0.17056071758270264,0.5430921851319621,0.9541431959586629,-0.7756442,736,101.852516
40,2.5,10,5,LONG,0.17648756504058838,0.542364363099274,0.9253163605229779,-0.8025884,736,118.328964
20,2.5,5,5,LONG,0.16649186611175537,0.5143452654946002,0.834977546318264,-0.8024288,1476,91.83756
40,1.5,10,10,LONG,0.13147902488708496,0.5054832152940729,0.6875240327666426,-0.6398952,737,36.873093
40,1.0,10,10,LONG,0.12952959537506104,0.4995967220627984,0.6785244730194723,-0.64061636,737,34.99964
60,2.0,10,10,LONG,0.1314154863357544,0.491801775648877,0.6430583589786344,-0.5886434,735,36.810635
120,2.0,10,20,LONG,0.12934374809265137,0.4892519483238662,0.6465653897090377,-0.6042125,729,34.825718
20,2.0,10,20,LONG,0.12318408489227295,0.483749739087584,0.6110030867842472,-0.57690156,739,29.50099
40,2.5,5,5,LONG,0.14740633964538574,0.48143844164822663,0.7547603997586718,-0.87882817,1472,56.139694
60,2.0,10,20,LONG,0.12397980690002441,0.4812779276982181,0.622939159036077,-0.52787626,735,30.143166
120,2.0,10,10,LONG,0.12787318229675293,0.47854138686354053,0.6347265203904624,-0.5776881,729,33.47839
10,2.0,10,10,LONG,0.12621772289276123,0.4769113454291504,0.6255036235975011,-0.62086654,740,32.020077
20,1.0,10,10,LONG,0.1179283857345581,0.46589984888111735,0.6457584427869979,-0.6547639,739,25.569614
20,1.5,10,10,LONG,0.11779296398162842,0.4654428717368893,0.645617070383987,-0.65476394,739,25.475065
20,2.5,5,10,LONG,0.13299190998077393,0.45800120634186003,0.6891779492873977,-0.90427244,1476,38.39159
10,2.0,10,20,LONG,0.1145486831665039,0.45395040542381504,0.5739162968173206,-0.59902835,740,23.305143
20,2.5,5,20,LONG,0.130151629447937,0.45307993720696654,0.671018885718428,-0.9257095,1476,35.587414
40,2.5,5,10,LONG,0.1262812614440918,0.4480001096973951,0.6577144760031518,-0.92504275,1472,32.074917
40,2.5,5,20,LONG,0.12221872806549072,0.4395094866205523,0.6368748067302532,-0.92300045,1472,28.739101
120,1.0,5,20,LONG,0.10000777244567871,0.434704204067848,0.5665520179271094,-0.63804126,1457,15.5158825
120,3.5,10,5,LONG,0.12561392784118652,0.43366305006925826,0.7460347160543063,-0.9459929,722,31.503216
120,3.5,10,20,LONG,0.12379658222198486,0.4304473303718894,0.7386242327382085,-0.9465366,722,29.994139
120,3.5,10,10,LONG,0.12379658222198486,0.4304473303718894,0.7386242327382085,-0.9465366,722,29.994139
40,2.0,10,10,LONG,0.11008298397064209,0.42927711305224114,0.5543257902697715,-0.6465353,737,20.597322
20,2.0,10,10,LONG,0.1078786849975586,0.42435245629599483,0.5678120626451547,-0.6513902,739,19.370546
40,2.0,10,20,LONG,0.10471773147583008,0.4224824898185517,0.5258752142745124,-0.5975013,737,17.72815
60,2.5,5,20,LONG,0.11312782764434814,0.4121742481515,0.6288901471937014,-0.94783896,1468,22.409853
10,1.0,10,5,LONG,0.10223150253295898,0.4000100611395482,0.5642733790886548,-0.6102145,740,16.526957
10,1.5,10,5,LONG,0.10223150253295898,0.4000100611395482,0.5642733790886548,-0.6102145,740,16.526957
120,1.5,5,20,LONG,0.091805100440979,0.39908541967327976,0.5361375496738763,-0.6470985,1457,12.251496
20,3.0,10,5,LONG,0.10197973251342773,0.3986736206409575,0.630591531020043,-0.8147463,734,16.409546
20,1.0,5,20,LONG,0.09053277969360352,0.39602463353326117,0.521121026097439,-0.66974914,1477,11.804638
