date,ret,wealth
2020-07-27,0,1
2020-07-28,0,1
2020-07-29,0,1
2020-07-30,0,1
2020-07-31,0,1
2020-08-03,0,1
2020-08-04,0,1
2020-08-05,0,1
2020-08-06,0,1
2020-08-07,0,1
2020-08-10,0,1
2020-08-11,0,1
2020-08-12,0,1
2020-08-13,0,1
2020-08-14,0,1
2020-08-17,0,1
2020-08-18,0,1
2020-08-19,0,1
2020-08-20,0,1
2020-08-21,0,1
2020-08-24,0,1
2020-08-25,0,1
2020-08-26,0,1
2020-08-27,0,1
2020-08-28,0,1
2020-08-31,0,1
2020-09-01,0,1
2020-09-02,0,1
2020-09-03,0,1
2020-09-04,0,1
2020-09-08,0,1
2020-09-09,0,1
2020-09-10,0,1
2020-09-11,0,1
2020-09-14,0,1
2020-09-15,0,1
2020-09-16,0,1
2020-09-17,0,1
2020-09-18,0,1
2020-09-21,0,1
2020-09-22,0,1
2020-09-23,0,1
2020-09-24,0,1
2020-09-25,0,1
2020-09-28,0,1
2020-09-29,0,1
2020-09-30,0,1
2020-10-01,0,1
2020-10-02,0,1
2020-10-05,0,1
2020-10-06,0,1
2020-10-07,0,1
2020-10-08,0,1
2020-10-09,0,1
2020-10-12,0,1
2020-10-13,0,1
2020-10-14,0,1
2020-10-15,0,1
2020-10-16,0,1
2020-10-19,0,1
2020-10-20,0,1
2020-10-21,0,1
2020-10-22,0,1
2020-10-23,0,1
2020-10-26,0,1
2020-10-27,0,1
2020-10-28,-0.01154945929,0.9884505407
2020-10-29,0.01917090578,1.007400033
2020-10-30,-0.02752635304,0.9796699839
2020-11-02,0.007962770032,0.9874708707
2020-11-03,0,0.9874708707
2020-11-04,0,0.9874708707
2020-11-05,0,0.9874708707
2020-11-06,0,0.9874708707
2020-11-09,0,0.9874708707
2020-11-10,0,0.9874708707
2020-11-11,0,0.9874708707
2020-11-12,0,0.9874708707
2020-11-13,0,0.9874708707
2020-11-16,0,0.9874708707
2020-11-17,0,0.9874708707
2020-11-18,0,0.9874708707
2020-11-19,0,0.9874708707
2020-11-20,0,0.9874708707
2020-11-23,0,0.9874708707
2020-11-24,0,0.9874708707
2020-11-25,0,0.9874708707
2020-11-27,0,0.9874708707
2020-11-30,0,0.9874708707
2020-12-01,0,0.9874708707
2020-12-02,0,0.9874708707
2020-12-03,0,0.9874708707
2020-12-04,0,0.9874708707
2020-12-07,0,0.9874708707
2020-12-08,0,0.9874708707
2020-12-09,0,0.9874708707
2020-12-10,0,0.9874708707
2020-12-11,0.006182265208,0.9935756775
2020-12-14,0.007069805752,1.000600065
2020-12-15,0.01093920393,1.011545833
